Underlying Name ,Agricultural Bank of China Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
17/08/2018,22.1756,14.5902,20.3756,21.3301,24.6859
16/08/2018,22.3911,13.4796,19.9435,21.4889,24.6187
15/08/2018,22.4523,13.4119,19.4608,21.3657,24.5646
14/08/2018,22.2763,13.1611,19.2956,21.3845,24.6565
13/08/2018,22.1973,11.4449,20.5715,24.6928,24.5652
10/08/2018,20.1894,10.4080,20.9953,24.6536,24.5226
09/08/2018,19.3109,9.0134,20.6798,24.6052,24.5554
08/08/2018,21.4130,9.7451,22.0615,25.1964,25.0049
07/08/2018,21.8649,10.8718,22.4396,25.5623,25.0192
06/08/2018,22.2016,19.8320,22.6770,25.5623,25.1652
03/08/2018,22.0436,22.0619,22.5675,25.4756,25.1348
02/08/2018,23.1710,23.7978,22.8827,25.5128,25.1565
01/08/2018,21.7605,22.8022,22.7601,25.4825,25.1558
31/07/2018,21.3788,23.2260,24.9219,25.5361,25.3117
30/07/2018,21.8561,25.2141,24.9696,25.7384,25.3300
27/07/2018,22.2920,26.2233,24.9835,25.7386,25.3319
26/07/2018,22.4948,26.3696,25.3519,26.7047,25.3719
25/07/2018,22.4385,25.8369,25.2825,26.6818,26.9541
24/07/2018,22.2115,28.2007,25.1348,26.6100,28.0748
23/07/2018,23.0273,24.6665,22.9656,25.6716,27.5043
20/07/2018,23.5986,23.6142,22.5018,25.7290,27.2107
19/07/2018,22.4460,20.5849,21.0581,25.1867,26.9408
18/07/2018,23.6863,20.1372,21.0482,25.5805,27.4747
17/07/2018,23.5214,20.1372,22.4672,25.7124,27.7680
16/07/2018,23.6608,22.8631,22.2761,26.1862,27.8724
13/07/2018,22.7212,24.2264,22.9921,26.4775,27.9983
12/07/2018,23.7388,24.0857,23.3845,27.2440,28.2179
11/07/2018,24.2731,26.2183,23.3831,26.9267,28.1985
10/07/2018,24.1078,25.7845,23.2601,26.8021,28.1074
09/07/2018,25.9054,24.0548,22.4719,26.6541,28.2331
06/07/2018,26.7967,21.1136,21.6553,26.4476,28.0473
05/07/2018,28.6169,21.3159,22.0373,26.4750,28.9905
04/07/2018,28.3492,20.9869,21.9763,26.5178,29.0555
03/07/2018,28.4436,24.8328,21.9854,26.6401,29.3143
29/06/2018,23.6176,23.6780,27.2123,26.2754,29.4291
28/06/2018,23.6028,17.6982,26.1213,25.8574,29.2554
27/06/2018,23.7177,15.7143,25.9833,25.9003,29.2539
26/06/2018,21.7498,14.7785,27.1247,26.2854,30.1080
25/06/2018,21.7071,16.4914,27.9491,26.2054,30.0686
22/06/2018,20.1065,16.5046,27.9412,26.3410,30.1254
21/06/2018,19.7142,21.4368,27.9710,26.3685,32.4673
20/06/2018,18.8210,21.7188,27.9856,26.3274,32.4920
19/06/2018,20.7330,21.7958,28.1066,26.3682,32.4648
15/06/2018,16.5204,19.4890,26.5339,25.7028,31.9845
14/06/2018,17.0920,19.1797,26.8785,25.7125,31.9727
13/06/2018,16.5313,20.9535,26.8748,25.7101,32.1243
12/06/2018,16.7908,21.0299,28.3951,25.5916,32.0239
11/06/2018,17.9227,24.5779,28.3952,27.9301,32.7631
08/06/2018,17.4778,24.6752,28.3929,29.5619,32.8895
07/06/2018,17.6308,23.7139,28.3130,29.4770,33.5933
06/06/2018,17.8728,22.1258,28.7315,29.2578,34.2438
05/06/2018,18.9165,24.1615,28.7492,29.3436,34.3659
04/06/2018,19.2369,24.2036,29.6054,30.0403,34.4256
01/06/2018,19.1578,20.1785,28.9192,30.1201,34.7212
31/05/2018,19.4003,35.5410,29.8731,30.3864,35.0615
30/05/2018,21.9301,32.4929,29.9607,30.3495,35.4148
29/05/2018,20.5806,32.8343,31.0355,30.4909,35.3318
28/05/2018,19.1952,36.5211,30.3863,30.3638,35.0924
25/05/2018,19.0485,38.2990,30.3136,30.3529,35.0864
24/05/2018,19.5174,38.2990,30.5800,30.7464,35.1466
