Underlying Name ,Belle International Holdings Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
28/08/2017,36.1030,0.0000,0.0000,0.0000,0.0000
25/08/2017,34.6989,0.0000,0.0000,0.0000,0.0000
24/08/2017,34.2682,0.0000,0.0000,0.0000,0.0000
23/08/2017,33.8542,0.0000,0.0000,0.0000,0.0000
22/08/2017,33.4558,0.0000,0.0000,0.0000,0.0000
18/08/2017,49.9308,0.0000,0.0000,0.0000,0.0000
17/08/2017,48.5901,0.0000,0.0000,0.0000,0.0000
16/08/2017,47.3756,0.0000,0.0000,0.0000,0.0000
15/08/2017,46.2672,0.0000,0.0000,0.0000,0.0000
14/08/2017,45.2488,0.0000,0.0000,0.0000,0.0000
11/08/2017,42.6191,0.0000,0.0000,0.0000,0.0000
10/08/2017,41.8562,0.0000,0.0000,0.0000,0.0000
09/08/2017,41.1393,0.0000,0.0000,0.0000,0.0000
08/08/2017,40.4638,0.0000,0.0000,0.0000,0.0000
07/08/2017,39.8253,0.0000,0.0000,0.0000,0.0000
04/08/2017,38.0993,0.0000,0.0000,0.0000,0.0000
03/08/2017,37.5781,0.0000,0.0000,0.0000,0.0000
02/08/2017,37.0802,0.0000,0.0000,0.0000,0.0000
01/08/2017,36.6031,0.0000,0.0000,0.0000,0.0000
31/07/2017,36.1466,0.0000,0.0000,0.0000,0.0000
28/07/2017,34.8828,0.0000,0.0000,0.0000,0.0000
27/07/2017,9.7580,6.6528,7.4078,6.8780,27.1694
26/07/2017,11.5789,7.8486,7.4078,29.8977,27.3170
25/07/2017,11.6190,8.0251,7.4414,29.8977,27.4078
24/07/2017,11.5814,8.4291,7.4697,29.8977,27.6804
21/07/2017,11.2694,10.2563,7.6635,29.8977,27.6780
20/07/2017,13.3512,10.2529,7.6937,29.8977,28.0520
19/07/2017,11.5064,10.4676,7.6944,29.8977,28.0955
18/07/2017,11.3092,10.5385,8.1334,29.8977,28.1400
17/07/2017,11.1044,10.9252,8.7468,29.9023,28.1693
14/07/2017,19.1746,9.5214,8.0495,29.8313,28.1123
13/07/2017,22.4929,9.5214,8.1029,29.8233,28.1341
12/07/2017,27.8666,7.8426,7.5941,30.0322,28.1256
11/07/2017,26.8795,7.9377,7.5759,30.2649,28.2553
10/07/2017,26.2408,8.2406,7.6570,30.2944,28.2497
07/07/2017,23.8978,6.3498,7.0811,30.3661,28.1876
06/07/2017,23.9822,6.8182,7.3010,30.7500,28.2440
05/07/2017,22.6791,6.8343,7.2140,30.7568,28.2882
04/07/2017,23.2195,7.3122,7.2006,30.7571,31.4509
03/07/2017,22.0935,6.3997,7.0505,30.7143,31.4548
30/06/2017,25.5128,5.9532,6.6884,30.9022,31.4473
29/06/2017,23.1866,6.2811,6.7028,30.9011,31.5914
28/06/2017,20.2912,6.1169,6.6891,30.8861,31.7891
27/06/2017,18.5377,6.3143,6.7035,30.9625,31.7952
26/06/2017,17.8597,6.0929,6.5718,31.4585,31.8737
23/06/2017,20.5383,6.3208,6.6958,31.5322,32.3871
22/06/2017,18.2909,6.1306,6.6968,31.5079,33.4730
21/06/2017,18.1197,5.0840,6.4160,31.7201,33.5237
20/06/2017,15.9925,6.9406,6.4944,31.7016,33.7928
19/06/2017,12.6566,8.8318,6.5629,32.5754,33.8745
16/06/2017,12.4597,8.9842,6.4826,32.5598,33.9988
15/06/2017,13.9117,8.8342,6.3439,32.9369,34.0673
14/06/2017,13.6456,8.8342,41.7692,33.1289,34.1742
13/06/2017,13.2995,8.7949,41.7498,33.2267,34.2175
12/06/2017,12.6288,8.9012,41.7712,33.5523,34.5186
09/06/2017,12.5615,8.6192,41.6959,33.5143,34.7774
08/06/2017,12.0869,9.2809,41.6762,33.9925,34.8095
07/06/2017,13.1316,9.2520,41.6902,34.0550,34.8123
06/06/2017,11.3595,7.4680,41.6840,34.0705,35.1091
05/06/2017,14.2440,5.6004,41.4821,34.0162,35.0934
