Underlying Name ,China Construction Bank Corporation

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
17/04/2018,26.4347,29.1748,28.3095,37.4607,33.0580
16/04/2018,28.9607,28.7691,28.2871,38.1495,33.0460
13/04/2018,25.5575,29.5913,28.6193,37.8473,32.7759
12/04/2018,27.9418,29.7800,28.6787,37.9337,32.8034
11/04/2018,28.3901,30.5082,28.7153,37.9324,32.8460
10/04/2018,29.5531,32.5611,28.7808,37.9454,32.9195
09/04/2018,29.0028,30.7368,28.5136,37.7158,32.8886
06/04/2018,30.0180,30.0232,29.6706,37.7024,32.9622
04/04/2018,28.5034,27.5696,29.5826,37.5914,33.1184
03/04/2018,30.0357,21.8992,30.7707,36.9028,32.4722
29/03/2018,30.0852,21.1419,33.3123,36.8865,32.5692
28/03/2018,31.1015,21.0169,33.3299,37.3604,32.5693
27/03/2018,30.5658,17.8541,32.2245,36.8681,32.2626
26/03/2018,31.1517,18.2787,35.0473,36.8673,32.2736
23/03/2018,32.0587,26.3154,34.8721,36.8312,32.2538
22/03/2018,30.0962,24.3002,35.1655,36.4768,32.0351
21/03/2018,30.5075,22.0569,41.9311,36.2510,31.9135
20/03/2018,29.2714,21.9739,42.0124,36.2522,31.9144
19/03/2018,28.5194,23.4915,41.9481,36.1386,31.8390
16/03/2018,30.3711,29.9481,42.0102,36.1754,31.9114
15/03/2018,30.8167,34.3608,42.4032,36.2595,31.9313
14/03/2018,30.6108,34.4380,43.1454,36.2573,31.9999
13/03/2018,31.2186,37.2346,43.1240,36.9891,31.9026
12/03/2018,30.9915,37.4752,46.0420,37.0446,31.8739
09/03/2018,32.7845,31.8969,44.9972,36.4357,31.4026
08/03/2018,34.3024,31.1946,44.7913,36.3956,31.7659
07/03/2018,35.6929,31.2083,46.6247,36.3705,31.8036
06/03/2018,35.8313,35.5645,46.6792,36.7027,31.8053
05/03/2018,36.4631,30.3752,45.7458,36.2692,31.4544
02/03/2018,36.5077,38.8083,45.9186,35.7181,31.1365
01/03/2018,33.5439,41.9226,45.2724,35.1710,30.9325
28/02/2018,33.6276,41.8964,46.4276,35.2593,31.3165
27/02/2018,30.7354,37.8376,45.6131,34.6904,30.9599
26/02/2018,31.4670,46.0251,45.5593,34.6374,30.8905
23/02/2018,33.9686,46.1691,45.5597,34.7243,30.9300
22/02/2018,33.7484,48.7022,45.5732,34.8192,30.9290
21/02/2018,32.4964,63.1693,45.0288,34.7068,30.7261
20/02/2018,33.5688,60.9928,44.5302,34.4446,30.4329
15/02/2018,33.5150,60.8399,44.0840,34.4475,30.2474
14/02/2018,34.1810,53.6570,42.5762,33.4419,29.3542
13/02/2018,34.2048,47.2734,40.7236,32.4582,28.4523
12/02/2018,35.7825,46.6089,41.5669,32.4537,28.4461
09/02/2018,39.7712,47.6707,41.5561,32.5534,29.9517
08/02/2018,35.0532,56.0932,38.9578,31.0203,28.8344
07/02/2018,35.3042,56.4009,38.9220,31.0538,28.9094
06/02/2018,41.2500,55.3479,37.7665,30.5025,28.4775
05/02/2018,33.1519,41.5385,27.6305,25.0950,24.7762
02/02/2018,29.7951,42.3713,27.7765,25.1234,25.0069
01/02/2018,31.8770,42.3397,27.7444,25.1187,25.0735
31/01/2018,34.5061,42.6092,27.2027,25.1249,24.9848
30/01/2018,31.4846,42.3622,27.5340,25.0339,24.8627
29/01/2018,32.9770,38.6216,25.2082,24.2427,24.2781
26/01/2018,32.6067,38.6229,27.0422,24.2643,24.2857
25/01/2018,27.9821,31.6989,23.9947,21.8618,22.6938
24/01/2018,27.9925,27.6320,22.6109,21.5223,22.5167
23/01/2018,28.5845,26.0252,22.4059,22.2252,22.5931
22/01/2018,25.7389,21.0510,20.0214,20.8772,21.5342
19/01/2018,24.0154,19.7192,21.1360,20.7011,21.4805
18/01/2018,27.0018,19.8390,21.4190,20.7804,21.4708
17/01/2018,25.0223,18.5042,20.5765,20.3717,21.0363
