Underlying Name ,China Petroleum & Chemical Corporation

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/05/2017,19.1849,22.8637,20.7163,19.7611,19.4533
19/05/2017,21.5392,23.0987,20.6878,19.9637,20.2150
18/05/2017,22.4901,28.0854,20.8486,20.0108,20.2769
17/05/2017,20.8808,27.9323,20.6728,20.1087,20.2804
16/05/2017,19.7929,28.4267,20.9015,20.1267,20.2747
15/05/2017,19.6426,27.5217,20.6585,20.0947,20.1179
12/05/2017,18.5242,22.7427,18.5327,19.0685,19.4695
11/05/2017,20.7769,22.6681,18.8115,19.1364,19.7466
10/05/2017,19.1768,25.4087,18.8133,19.1138,19.9081
09/05/2017,20.5060,25.5708,18.7907,19.1091,19.9871
08/05/2017,20.5959,21.9279,18.0392,18.7395,19.6214
05/05/2017,21.2094,21.2530,17.8663,18.6218,19.6548
04/05/2017,18.0579,17.5375,15.7465,17.7204,19.0501
02/05/2017,16.7283,18.1604,17.6801,17.6883,19.3446
28/04/2017,17.3089,17.7503,17.5357,17.6917,20.0209
27/04/2017,18.0566,17.5498,17.3357,17.7987,20.0198
26/04/2017,18.7795,16.9339,16.6050,17.5545,19.8437
25/04/2017,19.6121,17.6515,17.4729,17.6563,19.9220
24/04/2017,21.2532,15.4660,19.9097,17.4735,19.6840
21/04/2017,21.7961,15.4502,20.1980,17.4752,19.7181
20/04/2017,21.3871,17.9989,20.3732,17.4371,19.7430
19/04/2017,21.7128,17.8538,20.3490,17.6868,19.7347
18/04/2017,21.8520,17.0010,19.9401,17.4333,19.7820
13/04/2017,21.9084,15.7324,19.4652,17.7440,19.9891
12/04/2017,21.1842,16.3178,19.6071,17.8946,19.9803
11/04/2017,21.3386,16.8204,19.7444,19.2338,19.9937
10/04/2017,21.0943,14.9396,19.5392,19.0595,19.9366
07/04/2017,20.6214,12.5540,19.7957,18.9355,19.8206
06/04/2017,20.2005,11.8910,19.5504,18.7787,19.8108
05/04/2017,19.8318,12.4659,19.6281,18.8235,19.8052
03/04/2017,19.5360,12.2611,19.0691,18.8928,20.1243
31/03/2017,19.6571,12.2170,19.4840,20.0252,20.1233
30/03/2017,20.2437,9.9802,19.3031,20.0137,20.0285
29/03/2017,20.9069,15.5308,19.8069,20.1288,20.0712
28/03/2017,20.8398,17.3557,19.6709,20.0569,20.0744
27/03/2017,22.2144,17.3802,19.8236,20.0054,20.0102
24/03/2017,22.9729,17.1929,19.9071,20.0052,20.2505
23/03/2017,23.7971,20.1868,19.7716,20.3330,20.4513
22/03/2017,23.7014,28.1981,19.7196,20.5796,20.5082
21/03/2017,23.1093,28.9426,19.7359,20.6991,21.5318
20/03/2017,24.8953,28.3289,19.6658,20.5024,21.3769
17/03/2017,23.9095,28.2452,19.6004,20.6275,21.5207
16/03/2017,24.2871,28.4783,19.6101,20.6280,21.5292
15/03/2017,24.9672,22.9370,17.3132,20.1477,21.0308
14/03/2017,24.5978,23.0250,17.4050,21.2295,21.2509
13/03/2017,24.4289,22.9399,17.5709,21.2972,21.7012
10/03/2017,23.6167,22.1736,17.4313,21.2601,21.6756
09/03/2017,21.8307,22.0768,17.3351,21.0893,21.5206
08/03/2017,19.8335,14.2948,14.9415,19.7349,20.8046
07/03/2017,20.3495,12.9176,14.4848,19.6461,21.0487
06/03/2017,19.9771,11.1281,14.0285,19.5946,20.9900
03/03/2017,20.2438,14.2682,14.5855,19.5947,21.3179
02/03/2017,21.6704,14.8195,14.5474,19.8672,21.2847
01/03/2017,20.4840,16.1108,15.9305,20.4017,21.3299
28/02/2017,21.4991,15.8076,16.1012,20.3257,21.4144
27/02/2017,21.3563,16.7029,19.0210,20.2824,21.7042
24/02/2017,20.1955,17.0162,18.8829,20.2956,21.6808
23/02/2017,20.4474,15.5975,18.3709,19.9967,21.5835
22/02/2017,21.1227,15.2296,18.2928,20.0846,22.1060
21/02/2017,20.9082,14.8705,18.3077,20.0468,22.0922
