Underlying Name ,CSOP FTSE China A50 ETF

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
12/09/2017,15.4526,10.2927,13.7636,13.2453,13.9907
11/09/2017,15.5446,10.4784,14.1613,13.3240,14.0083
08/09/2017,15.6899,10.3959,13.8413,13.3095,13.9242
07/09/2017,15.6505,15.3525,13.8125,13.4762,13.9540
06/09/2017,16.1049,14.4693,13.6341,13.6686,13.9490
05/09/2017,16.0817,14.1250,13.7615,13.9746,13.9389
04/09/2017,16.1518,14.4865,13.7587,13.9691,13.9431
01/09/2017,15.6579,14.4795,13.6763,13.9776,13.9146
31/08/2017,16.1617,14.5591,13.9280,13.9883,13.9156
30/08/2017,17.7716,11.4202,13.4048,13.8865,13.7610
29/08/2017,16.4857,11.4077,13.9115,13.9097,13.7603
28/08/2017,16.0935,11.3923,13.8948,13.9747,13.8160
25/08/2017,16.1849,11.8046,13.7254,14.0557,13.9345
24/08/2017,15.5017,15.0402,12.0055,13.4338,13.5545
23/08/2017,15.6528,15.5265,13.0889,13.6034,13.5434
22/08/2017,15.5743,15.9735,13.1146,13.6319,13.5394
21/08/2017,15.4885,14.8214,13.1571,13.4935,13.4426
18/08/2017,16.1516,14.7535,13.1799,13.5093,13.5207
17/08/2017,15.1087,14.7715,13.3841,14.9725,13.5330
16/08/2017,13.9146,15.6518,13.3630,14.9866,13.5369
15/08/2017,14.9274,15.6492,14.2767,15.1179,13.5498
14/08/2017,15.4834,16.8722,14.7788,15.1700,13.5179
11/08/2017,16.2504,14.8627,14.6178,14.9891,13.3805
10/08/2017,14.6789,10.9502,13.1322,14.2766,12.9070
09/08/2017,14.9136,10.7104,13.2393,14.3007,12.8425
08/08/2017,15.5758,10.7104,13.1233,14.1968,12.8077
07/08/2017,15.9626,10.7104,13.1119,14.1877,12.8077
04/08/2017,16.2518,11.1034,13.2876,14.5013,12.8882
03/08/2017,16.1262,11.6873,13.3586,14.4991,12.8622
02/08/2017,14.2516,9.1437,12.5786,14.1045,12.6666
01/08/2017,14.4471,11.2918,12.6972,14.0991,12.6685
31/07/2017,14.5907,9.7979,12.5875,13.9881,12.5334
28/07/2017,15.3679,9.8863,12.9139,14.0542,12.7505
27/07/2017,15.1958,9.8495,13.3010,14.1048,12.8645
26/07/2017,14.3653,13.2766,13.9282,14.2045,12.8632
25/07/2017,14.7630,12.5488,14.4162,14.1211,12.8283
24/07/2017,15.0048,12.9143,14.4013,14.1211,12.9405
21/07/2017,14.8897,12.9168,14.5047,14.1190,12.9392
20/07/2017,15.0907,12.6101,14.2452,13.9603,12.9322
19/07/2017,15.1862,12.8562,14.5528,14.0229,12.9630
18/07/2017,16.4083,13.8022,14.1454,13.8005,12.7801
17/07/2017,17.6664,16.3989,14.2761,13.8832,12.7899
14/07/2017,16.1402,17.7531,14.6080,14.1446,12.8662
13/07/2017,16.2561,17.8912,14.9134,14.3310,13.0221
12/07/2017,16.1127,15.9298,14.3236,13.8720,12.6543
11/07/2017,15.3519,16.0345,14.3509,13.8522,12.6705
10/07/2017,14.7441,14.8440,14.0468,13.6925,12.6377
07/07/2017,15.2652,15.4087,14.0541,13.7974,12.6242
06/07/2017,15.0155,15.4259,16.5706,13.7180,12.6076
05/07/2017,15.0033,15.6025,16.6035,13.7319,12.6076
04/07/2017,14.6075,13.5896,16.1442,13.2880,12.2659
03/07/2017,14.5204,11.6558,15.6284,12.9660,12.3553
30/06/2017,14.8521,10.3514,15.1705,12.7759,12.2754
29/06/2017,16.0366,11.9505,15.3159,12.8876,12.2726
28/06/2017,15.6183,13.7122,15.4494,12.7529,12.1643
27/06/2017,15.2254,15.5057,15.3390,12.7588,12.1528
26/06/2017,15.5386,15.5057,15.3305,12.7639,12.1714
23/06/2017,15.2302,15.0870,15.7696,12.7920,12.1315
22/06/2017,15.0735,14.4274,15.7484,12.6910,12.0500
21/06/2017,15.1244,15.3691,15.7006,12.6981,11.9943
