Underlying Name ,Link Real Estate Investment Trust

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
20/07/2018,16.0027,22.7787,19.6493,19.1331,18.0598
19/07/2018,16.1983,23.1874,18.9295,18.9628,17.8155
18/07/2018,15.9452,23.2368,19.0141,19.2634,17.8381
17/07/2018,15.5875,21.9735,20.2340,19.1407,18.2694
16/07/2018,17.0146,21.9428,20.5405,19.1365,18.2688
13/07/2018,16.5464,19.7777,20.0142,19.0785,18.5819
12/07/2018,17.6979,19.7823,20.2324,19.1162,18.6395
11/07/2018,18.5650,20.2844,19.9005,18.8427,18.4359
10/07/2018,17.9361,19.5520,19.7134,18.7698,19.0566
09/07/2018,17.3732,14.9513,18.9539,18.3827,18.7863
06/07/2018,17.5059,13.2242,18.3774,17.9735,18.5971
05/07/2018,17.7151,15.3697,17.4896,17.8858,18.3066
04/07/2018,18.1037,15.4984,18.3883,18.0966,18.3054
03/07/2018,18.4215,16.2657,18.3685,18.3549,18.4260
29/06/2018,17.3120,15.9281,18.4651,18.3544,18.4012
28/06/2018,16.9866,15.4040,18.5524,18.3121,18.4052
27/06/2018,17.6544,19.9267,18.5589,18.3442,18.5043
26/06/2018,17.0096,19.6347,18.6474,18.2220,18.6039
25/06/2018,17.5430,18.5959,18.6684,18.1775,18.5438
22/06/2018,16.6259,17.4052,18.5897,18.1753,18.5040
21/06/2018,17.0325,19.8206,18.5576,18.1118,18.6479
20/06/2018,16.4040,18.2272,17.5538,17.6780,18.5003
19/06/2018,16.6762,18.9020,17.7207,17.9411,18.6830
15/06/2018,14.2976,23.7593,17.6079,17.8981,18.6287
14/06/2018,14.6598,24.6166,18.3306,17.9009,18.6272
13/06/2018,13.8851,24.6678,19.0361,17.8956,18.6925
12/06/2018,15.2341,19.3616,19.0713,16.9258,18.1598
11/06/2018,16.5623,19.4214,19.1040,16.8814,18.1181
08/06/2018,16.6788,19.3992,19.2657,16.9514,18.1670
07/06/2018,16.5788,19.4341,19.3429,17.0184,18.2070
06/06/2018,15.8940,18.5465,18.8988,17.3837,18.1656
05/06/2018,19.1195,17.4905,19.2103,17.3664,18.1411
04/06/2018,19.3386,19.1862,19.8072,17.3714,18.1118
01/06/2018,17.0197,15.4209,18.2889,17.3321,17.4868
31/05/2018,17.4132,15.1290,17.8274,17.0887,17.3260
30/05/2018,17.5336,15.7912,18.2312,17.8478,17.2897
29/05/2018,17.5978,15.3975,18.1558,17.8692,17.2443
28/05/2018,17.0108,15.9641,18.0360,17.8081,17.3065
25/05/2018,17.2491,16.3525,18.0628,18.8687,17.3924
24/05/2018,17.7476,15.8112,18.0286,18.8286,18.0853
23/05/2018,17.4294,15.4880,17.7818,18.8257,18.0994
21/05/2018,16.6058,15.4088,18.5545,18.8334,18.0833
18/05/2018,15.9374,12.5078,18.0351,18.3605,17.7351
17/05/2018,16.3077,12.9337,18.5169,18.5323,17.7352
16/05/2018,16.3655,14.9093,18.4789,18.4856,17.7553
15/05/2018,16.1696,16.5996,18.3626,18.4761,17.8107
14/05/2018,17.1633,23.1753,18.4363,18.6339,17.8194
11/05/2018,16.1069,22.9838,18.0111,18.6979,17.7677
10/05/2018,16.0874,22.6331,17.8188,18.5826,17.7344
09/05/2018,16.9403,22.8879,17.9105,18.5819,17.8492
08/05/2018,17.5054,22.5135,17.7947,18.7922,17.8951
07/05/2018,17.9277,23.1417,17.7898,18.9653,17.9191
04/05/2018,17.5096,23.9139,18.1392,19.1609,18.0244
03/05/2018,18.2879,24.7190,18.2358,19.1301,18.0551
02/05/2018,18.3671,23.5375,17.6814,18.8685,17.8726
30/04/2018,16.8290,22.6892,17.0042,18.6667,17.6703
27/04/2018,16.0939,16.6508,14.3665,17.5793,17.2654
26/04/2018,16.2643,14.5808,13.9139,17.3297,17.4968
25/04/2018,16.9359,14.9704,14.1173,17.3649,17.4814
24/04/2018,17.3221,14.7471,14.1806,17.3930,17.5382
