Underlying Name ,China Mobile Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
20/07/2018,17.6546,13.6451,15.3113,16.2410,17.5883
19/07/2018,17.5718,13.8519,15.2512,16.1965,17.5686
18/07/2018,17.0661,14.4030,15.3441,16.2112,17.5897
17/07/2018,17.2855,14.5037,16.4660,16.2165,18.3746
16/07/2018,16.0611,17.0600,16.3875,16.0822,18.3012
13/07/2018,16.6091,17.6383,16.3907,16.1073,18.3298
12/07/2018,16.9806,16.8755,16.4192,16.1105,18.2833
11/07/2018,17.2464,16.7603,16.5324,15.9803,18.2212
10/07/2018,16.0896,17.0822,16.4860,15.9496,18.2304
09/07/2018,17.0241,17.1917,16.5909,16.0410,18.2276
06/07/2018,18.8951,15.6148,15.9175,15.8998,18.0558
05/07/2018,20.0628,16.7706,15.7277,16.8421,18.2579
04/07/2018,20.4210,16.3041,15.4859,17.0922,18.2094
03/07/2018,20.6515,17.2184,15.3540,18.0636,18.2271
29/06/2018,18.1335,14.1756,14.5155,17.7011,17.9285
28/06/2018,18.2858,13.3676,14.2111,17.7266,17.8928
27/06/2018,18.5243,13.5400,14.0382,18.1418,17.9070
26/06/2018,18.1277,13.5975,14.0656,19.1751,18.7093
25/06/2018,17.9144,10.8467,13.5825,19.0034,18.5706
22/06/2018,16.9589,14.3916,13.5775,19.1870,18.6161
21/06/2018,16.9089,15.8557,13.5134,19.2296,19.0617
20/06/2018,17.1180,15.9816,13.3640,19.1318,19.0635
19/06/2018,17.4217,16.4436,13.4861,19.1312,19.1550
15/06/2018,15.3002,18.8073,13.0387,18.9609,19.0598
14/06/2018,15.1149,19.1882,13.8523,18.9859,19.0982
13/06/2018,15.7728,18.9403,13.8449,18.9635,19.0913
12/06/2018,15.4330,18.5566,13.7186,18.7839,19.0120
11/06/2018,15.6516,19.7403,17.2678,18.9257,18.9943
08/06/2018,15.7381,19.7976,17.4250,18.9547,18.9938
07/06/2018,14.9924,15.8456,16.8252,18.3521,18.8182
06/06/2018,15.2568,15.6413,17.2632,18.6130,18.7534
05/06/2018,15.9009,15.4725,17.2538,18.6147,18.8420
04/06/2018,16.4815,14.9854,17.2155,18.6162,18.8894
01/06/2018,16.4752,9.5676,16.2437,19.3834,19.2567
31/05/2018,15.8167,7.1769,16.0274,19.3184,19.1950
30/05/2018,17.5795,7.4098,16.0744,19.3581,19.3037
29/05/2018,17.0197,6.8429,16.0537,19.2803,19.3224
28/05/2018,15.9776,7.2062,15.6886,19.1437,19.2275
25/05/2018,15.8276,8.3001,15.6752,19.1767,19.2859
24/05/2018,15.1929,7.6613,15.7556,19.1241,19.2751
23/05/2018,15.3405,6.9534,16.0618,19.1317,19.2408
21/05/2018,15.3724,7.5395,17.8718,19.4525,19.2377
18/05/2018,12.8268,8.0230,18.3688,19.4593,19.2380
17/05/2018,13.1644,8.8443,20.4483,19.5115,19.2365
16/05/2018,15.1072,11.8467,20.3809,19.4291,19.3062
15/05/2018,15.1048,12.0349,20.5114,19.4708,19.3067
14/05/2018,14.6904,12.7696,21.4103,19.5304,19.4467
11/05/2018,15.3274,21.9191,23.0985,20.7207,19.4163
10/05/2018,15.6069,22.4712,23.1131,20.6824,19.4135
09/05/2018,16.1784,24.4074,23.4926,20.7517,19.4646
08/05/2018,16.6113,25.6614,23.5924,21.3828,19.4639
07/05/2018,17.5532,25.6465,23.6672,21.4562,19.5251
04/05/2018,16.7899,25.5797,23.6219,21.5420,19.4988
03/05/2018,16.1912,25.2949,23.5758,21.5468,19.4705
02/05/2018,16.0315,23.0651,22.9591,21.3476,19.2543
30/04/2018,16.2338,23.0818,22.8745,21.3405,19.2389
27/04/2018,16.9623,23.8338,22.8087,21.2758,19.2182
26/04/2018,16.8834,14.6308,20.7492,19.8564,18.3074
25/04/2018,16.1262,14.2797,20.6520,19.8168,18.2606
24/04/2018,15.6473,12.0190,19.9890,19.8406,18.0677
