Underlying Name ,W.I.S.E. CSI 300 China Tracker

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
07/07/2017,25.9912,16.2219,15.8559,17.9515,16.0197
06/07/2017,25.9080,18.4314,16.5135,17.9529,16.0199
05/07/2017,25.9801,18.8684,16.6130,17.9541,16.0353
04/07/2017,26.0236,19.2025,16.5896,17.9627,16.0349
03/07/2017,25.9533,21.6694,16.2830,17.8675,16.1109
30/06/2017,25.9569,21.3952,15.9515,17.7718,16.0764
29/06/2017,25.9794,21.5443,16.3236,17.7740,16.1489
28/06/2017,26.0327,21.5543,16.6022,17.7714,16.0894
27/06/2017,25.9319,21.0248,17.2327,17.7007,16.0404
26/06/2017,26.0169,20.2059,17.0664,17.6103,15.9822
23/06/2017,25.9619,17.6135,16.2782,17.1475,15.5805
22/06/2017,25.9891,15.2813,16.8067,16.7385,15.2977
21/06/2017,25.9664,14.9993,17.9088,16.7418,15.2725
20/06/2017,25.9612,15.7143,18.0359,16.6023,15.1728
19/06/2017,26.0182,11.7296,16.9370,16.1087,14.8241
16/06/2017,25.9625,12.7373,18.7091,15.9750,14.7756
15/06/2017,25.9758,13.1725,18.5942,15.8764,14.7439
14/06/2017,25.9693,14.9804,18.8531,15.8638,14.7316
13/06/2017,26.0060,15.2037,18.9085,15.8446,14.7191
12/06/2017,26.0296,15.2037,19.0148,15.8689,14.7269
09/06/2017,25.9150,14.9500,19.1192,16.0374,14.7290
08/06/2017,26.0376,16.5222,19.1193,16.7340,14.7954
07/06/2017,25.9988,17.0137,19.2929,16.7576,14.8817
06/06/2017,25.9832,16.1858,19.2923,16.5294,14.7012
05/06/2017,25.9643,15.3634,19.1457,16.3199,14.5485
02/06/2017,26.0150,14.0310,19.2309,16.2260,14.5401
01/06/2017,25.9687,14.1166,19.7233,16.2293,14.4738
31/05/2017,25.9871,13.9501,19.1387,15.8934,14.2307
29/05/2017,25.9420,16.7557,19.6739,15.8618,14.2064
26/05/2017,25.9999,17.0030,20.0879,16.1591,14.3382
25/05/2017,25.9858,17.5627,19.8815,16.0371,14.6163
24/05/2017,25.9957,19.1478,19.0849,15.5627,14.3018
23/05/2017,25.9868,22.3674,19.0701,15.5913,14.3148
22/05/2017,25.9852,22.9522,19.1270,15.5682,14.3732
19/05/2017,23.5194,23.2310,19.1020,15.8028,14.6443
18/05/2017,23.5564,26.9876,19.0642,15.8079,14.7036
17/05/2017,23.5184,26.6733,18.9238,15.8663,14.6733
16/05/2017,23.5076,26.8952,18.8513,15.7653,14.5888
15/05/2017,22.9690,24.5953,17.6150,15.0773,14.4923
12/05/2017,22.9007,23.5920,17.2160,14.8671,14.3608
11/05/2017,22.9368,24.5698,17.5970,14.9536,15.1294
10/05/2017,22.8297,20.1737,15.8623,14.0388,14.7272
09/05/2017,21.0493,18.3287,15.0166,13.5170,14.3884
08/05/2017,20.9840,18.7044,14.8791,13.4405,14.5040
05/05/2017,21.0256,18.9644,14.6062,13.3148,14.6173
04/05/2017,21.0612,14.7516,12.6674,12.3844,14.0068
02/05/2017,21.0839,16.7622,12.7137,12.4525,14.1533
28/04/2017,21.0650,14.3609,11.9980,12.1138,14.0407
27/04/2017,21.0462,17.5535,11.9352,12.0754,14.2924
26/04/2017,21.0572,18.4847,11.9770,12.0587,14.3619
25/04/2017,21.0141,16.7219,12.1221,11.8251,14.2164
24/04/2017,21.0191,16.8258,13.8250,12.0705,14.2354
21/04/2017,20.9402,16.7821,13.8214,12.1779,14.2023
20/04/2017,18.5805,16.7544,13.4994,11.9447,14.0709
19/04/2017,14.6691,15.7382,13.1514,11.7723,14.1304
18/04/2017,14.5562,14.9921,12.8321,11.7044,14.0959
13/04/2017,15.7762,12.0097,12.1105,11.1698,13.8947
12/04/2017,17.4173,12.9242,12.1459,11.1800,14.1547
11/04/2017,14.4150,9.2300,11.1198,10.6826,17.6192
10/04/2017,13.9124,6.8015,11.2836,10.5592,18.2845
