Underlying Name ,China Resources Land Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
30/10/2017,26.1043,17.2407,37.7189,30.5880,30.0820
27/10/2017,25.8641,15.4424,37.6084,30.4642,29.9302
26/10/2017,26.8446,13.3964,37.3811,30.3440,29.8545
25/10/2017,26.9690,13.4553,37.3902,30.4391,29.8593
24/10/2017,26.9389,13.4554,37.4359,30.4489,29.8898
23/10/2017,26.0575,10.8530,37.1505,30.4038,29.8543
20/10/2017,25.1152,13.8946,37.4716,31.5051,29.9314
19/10/2017,25.9867,12.4919,37.3815,31.6470,30.0048
18/10/2017,26.0965,16.9428,37.3097,31.6789,30.1504
17/10/2017,26.0271,20.0119,37.4915,31.6536,30.1981
16/10/2017,28.2036,20.0122,37.4973,31.7496,30.3805
13/10/2017,26.6781,21.5934,37.5608,31.7394,30.4058
12/10/2017,28.4324,23.4585,38.4583,31.7441,30.3714
11/10/2017,30.0504,23.5248,38.4812,31.8101,30.3853
10/10/2017,31.0031,46.3001,38.5834,33.4618,30.4010
09/10/2017,32.2376,49.3607,38.8510,34.1846,30.3941
06/10/2017,31.2295,49.0067,38.3801,33.8829,30.1828
04/10/2017,31.3677,48.9907,38.3156,33.9469,30.1605
03/10/2017,31.8349,46.8576,38.7021,33.7777,30.1533
29/09/2017,30.4624,61.7264,39.2490,33.5711,29.9656
28/09/2017,31.6584,62.0838,39.4275,33.7909,30.5598
27/09/2017,33.0095,62.0476,39.2299,33.5989,30.4393
26/09/2017,33.5574,61.0273,38.9136,33.4646,30.3038
25/09/2017,32.9663,60.8538,38.9260,34.0008,30.3076
22/09/2017,30.8352,45.3444,30.9209,29.9456,27.2649
21/09/2017,30.3551,38.3531,28.5522,28.6142,26.3713
20/09/2017,31.5231,37.1357,29.2080,28.6838,26.2710
19/09/2017,31.9631,36.3012,29.5480,28.6436,26.2594
18/09/2017,37.0098,36.1740,29.9480,28.7526,26.3040
15/09/2017,25.3295,14.8236,21.5480,25.4951,23.4650
14/09/2017,25.2654,14.5383,21.6387,25.4722,23.4445
13/09/2017,25.0425,14.2846,21.6966,25.4238,23.4180
12/09/2017,24.5369,18.6186,21.7755,25.4914,23.6582
11/09/2017,24.7501,18.4980,22.0567,25.5070,23.6622
08/09/2017,25.8687,18.6379,22.0131,25.5358,24.4498
07/09/2017,26.5095,21.4957,22.3662,25.6060,24.8315
06/09/2017,26.8814,20.8158,24.8030,25.6519,24.8514
05/09/2017,26.9859,20.8158,25.2745,25.8417,25.1835
04/09/2017,27.9908,24.4236,25.4885,26.1955,25.2023
01/09/2017,27.3958,25.0051,25.1320,26.1170,25.0735
31/08/2017,27.9018,26.9273,25.3895,26.4543,25.3392
30/08/2017,28.5357,28.6090,25.2725,26.4588,25.3303
29/08/2017,27.7623,25.4944,23.7915,25.7713,25.2694
28/08/2017,27.4435,25.7236,23.8236,25.7723,25.2558
25/08/2017,27.5627,25.3340,28.0211,25.7126,25.2113
24/08/2017,27.1777,25.3835,29.4614,25.5196,25.4280
23/08/2017,28.7386,27.7759,29.3709,25.4825,25.4110
22/08/2017,28.5312,28.7881,29.5992,25.4845,25.5031
21/08/2017,27.4357,24.0159,28.6544,25.1650,25.1042
18/08/2017,27.3581,14.9754,27.2926,24.3422,24.6269
17/08/2017,26.0440,14.8605,27.5949,25.3637,24.6573
16/08/2017,26.6469,14.8121,27.4328,25.3018,24.7227
15/08/2017,27.8166,13.8219,27.6121,25.3106,24.7915
14/08/2017,29.6173,13.6948,28.8695,25.3147,24.9186
11/08/2017,30.2992,13.5831,29.1054,25.4018,24.9730
10/08/2017,27.8928,13.4330,28.7378,25.2654,24.9942
09/08/2017,28.7560,26.9935,28.4930,24.8084,24.8745
08/08/2017,28.0942,27.8007,28.1205,24.6480,24.7336
07/08/2017,28.7148,27.8007,27.9754,24.5334,25.0837
04/08/2017,27.8614,27.5897,29.2277,24.5220,25.0748
