Underlying Name ,Link Real Estate Investment Trust

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
26/10/2017,14.7658,15.6737,13.9662,11.4306,13.5286
25/10/2017,14.9977,15.9458,13.7484,11.2962,15.1505
24/10/2017,15.7834,15.5914,13.6874,11.3495,15.1748
23/10/2017,14.9407,14.3830,13.5881,11.7371,15.1000
20/10/2017,14.5821,14.3824,13.7507,13.0170,15.2055
19/10/2017,13.5337,8.2461,11.0130,11.8826,14.4627
18/10/2017,11.2993,9.6041,11.2451,11.9777,14.6793
17/10/2017,11.5602,9.6753,11.4702,12.1333,14.8521
16/10/2017,12.0853,9.9447,11.3087,12.0807,14.9159
13/10/2017,10.7983,10.1881,11.7410,12.1613,15.1237
12/10/2017,10.6005,11.2385,11.8048,12.1635,15.1200
11/10/2017,11.4314,11.1382,11.7807,12.2081,15.1283
10/10/2017,11.3015,13.3845,11.8676,12.2274,15.1294
09/10/2017,11.6640,13.5872,11.8790,12.3063,15.1354
06/10/2017,11.2334,13.3655,11.7733,12.2794,15.1234
04/10/2017,11.4379,13.1866,11.2944,12.0313,14.9999
03/10/2017,10.9827,12.5304,11.0953,12.0558,15.3562
29/09/2017,11.8840,12.9305,11.0267,13.7136,15.3472
28/09/2017,12.0059,13.4489,10.8058,13.7367,15.5167
27/09/2017,11.1240,14.3186,10.8052,13.7464,15.6979
26/09/2017,11.4345,12.3777,10.5141,13.6088,15.6308
25/09/2017,10.2742,12.7786,10.4808,13.6008,15.6220
22/09/2017,11.3204,11.7128,10.2358,13.3950,15.4580
21/09/2017,10.9427,12.9138,10.3693,13.4847,15.6980
20/09/2017,12.4279,13.1708,10.4281,13.4717,15.8953
19/09/2017,13.8236,12.1581,10.0020,13.4674,15.7812
18/09/2017,15.2081,11.3558,9.5517,13.3847,15.6669
15/09/2017,13.1104,11.9810,9.4600,13.3449,15.7630
14/09/2017,13.3682,10.6138,9.0970,13.4611,16.0164
13/09/2017,12.7254,10.2168,8.4049,13.2474,15.9276
12/09/2017,13.0738,10.2616,8.4113,13.4205,15.9356
11/09/2017,14.0732,10.2788,8.4011,15.9161,16.0097
08/09/2017,14.4530,10.8079,8.6392,15.9769,16.0764
07/09/2017,15.0244,9.9658,9.7575,15.8863,16.0301
06/09/2017,15.5851,9.1291,12.4334,15.9802,15.9858
05/09/2017,15.6656,9.0079,12.7399,15.9938,15.9792
04/09/2017,15.8658,8.8901,12.8145,16.2124,16.0111
01/09/2017,15.2120,7.1244,12.7517,16.3644,15.9205
31/08/2017,14.6580,7.6440,12.7481,16.4933,15.9396
30/08/2017,14.8695,6.1751,12.6697,16.6377,15.8610
29/08/2017,15.1600,6.5223,12.6521,16.6156,15.8670
28/08/2017,14.6364,6.4207,12.7719,16.6429,15.9155
25/08/2017,14.4487,7.4492,12.6717,16.6104,15.9307
24/08/2017,13.8382,8.6864,12.8176,16.6177,16.1571
23/08/2017,14.8295,9.1420,12.8240,16.6342,16.3262
22/08/2017,14.9017,9.3110,12.8361,16.6342,16.5133
21/08/2017,15.1683,8.4915,13.1017,17.1764,16.4990
18/08/2017,16.0811,8.6164,15.9583,17.1771,16.7060
17/08/2017,17.0282,9.0317,16.1012,17.4358,16.7172
16/08/2017,17.6575,8.9731,16.0541,17.6549,16.7623
15/08/2017,18.0533,8.3309,16.0132,17.6539,17.0288
14/08/2017,18.8408,8.4162,16.0515,17.6597,17.0844
11/08/2017,19.7242,6.2057,16.0690,17.5636,17.0236
10/08/2017,16.7642,11.4610,16.1316,17.8463,16.9592
09/08/2017,16.5369,17.7611,16.0291,18.0743,16.9268
08/08/2017,15.7484,18.4711,16.3438,18.0492,17.0302
07/08/2017,16.1250,18.8660,16.5041,18.0260,17.0103
04/08/2017,16.7741,18.8237,16.4346,18.1426,16.9877
03/08/2017,16.6330,18.8660,16.8631,18.5308,16.9823
02/08/2017,17.0443,19.3714,16.9037,18.6055,16.9661
