Underlying Name ,China Coal Energy Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
07/03/2018,34.8431,37.7902,44.8965,40.2323,34.5945
06/03/2018,35.1331,32.6985,43.9846,40.0903,34.0865
05/03/2018,36.0807,30.5992,42.2077,39.3713,33.4889
02/03/2018,34.4188,35.7146,42.6386,39.3714,33.4886
01/03/2018,33.6331,34.4358,42.3532,39.1958,33.4113
28/02/2018,34.1388,34.9575,42.4570,39.7928,33.7068
27/02/2018,34.0255,34.7541,43.6915,39.7744,33.7045
26/02/2018,35.5527,41.4981,43.3966,39.5241,33.5161
23/02/2018,36.1835,41.3216,43.4773,39.4968,33.4681
22/02/2018,35.8888,37.4263,42.3452,38.9099,33.0105
21/02/2018,34.3618,50.4607,42.2351,38.9783,33.0455
20/02/2018,35.2810,48.6383,51.3020,38.9067,33.0056
15/02/2018,38.1292,54.0284,50.6679,38.3741,32.6101
14/02/2018,36.6795,49.7419,49.6829,37.9635,32.3203
13/02/2018,38.5163,47.5831,49.4933,37.9186,32.2735
12/02/2018,40.3448,47.3370,49.9176,37.8974,32.3723
09/02/2018,38.3489,60.7077,49.9172,37.8973,32.5779
08/02/2018,35.6549,57.7429,47.8664,36.6314,31.5951
07/02/2018,39.1883,58.2557,48.1783,36.5932,31.6469
06/02/2018,39.8851,60.6056,47.9716,36.4990,31.5694
05/02/2018,37.3227,46.6109,41.9159,33.0237,28.9517
02/02/2018,34.9691,46.6848,41.8787,33.0157,29.3861
01/02/2018,31.8863,42.6486,40.8038,32.1903,28.9187
31/01/2018,32.9832,40.0803,39.4558,31.4977,28.4620
30/01/2018,35.9542,36.0308,38.6753,30.9293,28.0364
29/01/2018,39.1332,31.7786,37.6637,30.4328,27.7624
26/01/2018,32.8950,28.6862,34.8698,28.5118,26.1565
25/01/2018,33.2052,27.4073,34.3685,28.3396,26.0913
24/01/2018,32.2845,27.6615,34.4584,28.4648,26.4251
23/01/2018,31.0090,26.0075,34.0504,28.1250,26.3036
22/01/2018,32.3838,26.0655,34.1052,28.1589,26.7258
19/01/2018,31.1870,56.1448,35.8052,28.1353,26.6864
18/01/2018,33.4976,55.7121,35.9985,28.2175,26.6755
17/01/2018,31.4878,55.8445,35.7515,28.0000,26.5056
16/01/2018,30.7857,55.8721,35.8370,28.0941,26.5811
15/01/2018,31.2886,56.3645,37.3308,28.6284,26.5527
12/01/2018,31.3432,50.7692,35.3269,27.5165,26.0392
11/01/2018,31.0757,50.8688,35.3294,27.5350,26.3050
10/01/2018,30.4556,51.1440,35.4270,27.4679,26.2817
09/01/2018,32.8732,48.7579,35.0298,27.2809,26.6602
08/01/2018,35.2790,48.3788,35.1652,27.4378,26.7197
05/01/2018,25.1350,17.0344,21.0822,18.6968,21.0395
04/01/2018,23.9997,16.7818,20.7002,18.4506,21.0765
03/01/2018,23.3934,16.4623,21.4562,19.0307,21.2239
02/01/2018,23.1120,19.5486,21.6790,19.1589,21.2091
29/12/2017,22.7878,16.7068,20.7336,18.8545,20.9261
28/12/2017,25.0156,17.7617,20.7344,19.3937,20.9187
27/12/2017,24.4619,17.8862,20.8695,19.3844,20.9716
22/12/2017,22.8492,15.8224,19.6803,18.9111,20.7146
21/12/2017,22.2098,15.5765,19.4972,18.7944,20.6487
20/12/2017,21.9196,15.3317,19.7995,18.7767,20.9096
19/12/2017,22.6800,22.8562,19.9024,19.6141,20.9384
18/12/2017,22.9758,23.2969,20.0010,19.9805,22.7985
15/12/2017,21.2121,23.4520,20.0062,19.9743,23.1606
14/12/2017,20.1031,22.2748,19.6370,19.8257,23.6064
13/12/2017,21.8498,27.2793,19.7279,19.8554,23.7000
12/12/2017,21.2793,25.0024,19.1718,19.4506,23.4968
11/12/2017,23.0805,25.5638,19.1994,19.5098,26.5965
08/12/2017,22.8195,22.7302,18.7035,19.7025,26.5473
07/12/2017,25.5428,22.7302,18.7540,20.2637,27.2011
