Underlying Name ,China Minsheng Banking Corporation Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
12/06/2018,19.3464,27.5370,19.5611,19.2909,26.7782
11/06/2018,19.4473,27.7951,19.6214,19.3572,28.8797
08/06/2018,19.5026,27.7652,19.6947,19.4413,29.4176
07/06/2018,18.3742,23.8967,18.7441,18.7030,29.1121
06/06/2018,18.1305,24.1412,19.7660,18.6927,30.1877
05/06/2018,19.2470,25.0676,19.9336,18.6850,30.3227
04/06/2018,20.3851,23.8900,20.5794,18.7671,30.3106
01/06/2018,20.1582,21.9753,19.9020,18.2738,30.3401
31/05/2018,19.0772,21.9818,19.9402,19.4694,30.3416
30/05/2018,18.5863,14.5620,17.8912,18.3931,30.0655
29/05/2018,18.3479,13.2485,18.6307,18.4571,30.0426
28/05/2018,18.1403,16.3487,18.6248,18.7963,30.0532
25/05/2018,16.7372,16.3898,18.6398,18.8979,30.0542
24/05/2018,19.3051,16.5850,18.5623,20.4736,30.1646
23/05/2018,18.9601,15.9518,19.0100,20.3779,30.1180
21/05/2018,18.8257,15.3139,18.8769,21.4239,30.0915
18/05/2018,18.4887,15.2197,18.9855,21.6645,30.1351
17/05/2018,20.6741,15.2178,20.0838,21.7611,30.1215
16/05/2018,21.6469,14.9792,19.9935,22.3120,30.0866
15/05/2018,21.6257,15.9556,20.1397,22.3672,30.1419
14/05/2018,21.4322,16.0429,20.2432,22.5280,30.0938
11/05/2018,19.9229,13.6103,19.4335,24.5880,29.9483
10/05/2018,20.4584,14.1201,19.3169,24.5398,29.9471
09/05/2018,21.6259,16.6069,20.2323,24.5543,29.9618
08/05/2018,19.8328,20.2793,20.0441,27.8250,29.9931
07/05/2018,20.8016,20.1437,19.6562,28.0945,29.9464
04/05/2018,20.0579,22.4204,19.5446,28.0523,30.0087
03/05/2018,20.5212,23.3196,19.5434,28.0757,30.0618
02/05/2018,20.8257,23.8710,19.5548,28.6120,30.0790
30/04/2018,21.0486,23.3549,19.4638,29.7342,30.0651
27/04/2018,22.7640,24.8236,18.7767,29.6897,30.2492
26/04/2018,23.8746,24.3841,18.8052,32.5755,30.2887
25/04/2018,23.4061,24.6181,19.0614,33.2414,30.3281
24/04/2018,22.1361,23.5562,18.5704,33.0997,30.3307
23/04/2018,22.7643,21.9568,17.1465,34.2310,30.1170
20/04/2018,23.5490,22.2434,17.1192,34.3941,30.5147
19/04/2018,23.7176,19.2684,16.8901,34.2463,30.3127
18/04/2018,24.1844,22.3986,16.6299,34.5111,30.2737
17/04/2018,26.4102,21.2322,18.6390,34.4617,30.2537
16/04/2018,26.5892,21.3803,18.8612,34.7151,30.2739
13/04/2018,24.1459,19.0718,18.3569,34.5028,30.0113
12/04/2018,25.7054,19.3321,18.9688,34.5219,30.0087
11/04/2018,26.4372,19.1609,19.0062,34.5164,30.0262
10/04/2018,26.4913,21.2951,22.3607,34.6856,30.0173
09/04/2018,27.6598,17.2318,21.5831,34.4942,30.1488
06/04/2018,27.9315,15.3576,23.6631,34.4691,30.9306
04/04/2018,26.6134,15.7423,23.9858,34.5142,31.0129
03/04/2018,25.8546,12.7629,23.6008,34.2100,30.7738
29/03/2018,27.6499,12.8580,24.7505,34.1899,30.8335
28/03/2018,28.6095,12.7982,24.7401,34.2133,30.7917
27/03/2018,27.7155,12.3491,24.9428,34.1115,30.7538
26/03/2018,27.6343,12.5827,29.1796,34.1325,30.8002
23/03/2018,26.5399,13.9409,29.1793,34.1573,30.8483
22/03/2018,25.7301,8.8846,28.5850,33.8540,30.5906
21/03/2018,26.3726,9.8730,34.2180,33.9041,30.5910
20/03/2018,26.8137,10.6240,34.9172,33.9360,30.6526
19/03/2018,26.8039,13.1181,34.9127,34.0122,30.7259
16/03/2018,25.7032,13.0579,34.9491,34.0977,30.8106
15/03/2018,27.7853,21.9490,35.8136,34.1184,30.7861
14/03/2018,28.4038,22.3038,37.6658,34.1555,30.7858
