Underlying Name ,Standard Chartered PLC

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
18/08/2017,21.8882,19.7815,32.5047,26.8114,26.9741
17/08/2017,21.7453,22.3029,32.0707,26.4662,26.7700
16/08/2017,22.6502,46.2780,31.7739,26.2519,26.7238
15/08/2017,24.0456,45.5214,31.7733,26.3024,27.1276
14/08/2017,25.4174,49.4107,31.6735,26.2245,27.0793
11/08/2017,21.1619,49.5652,31.3682,26.0524,27.2172
10/08/2017,19.6527,49.1842,30.8199,26.2044,26.9970
09/08/2017,20.9013,49.1563,32.6611,25.9126,26.8074
08/08/2017,21.4089,48.9127,32.5509,25.9165,27.0560
07/08/2017,23.1520,50.6317,32.5634,25.9218,27.1127
04/08/2017,22.7788,50.6589,32.4861,26.0169,27.1088
03/08/2017,25.1061,49.8059,32.2121,26.0335,26.9740
02/08/2017,25.4218,19.1832,18.8897,18.7985,22.7860
01/08/2017,27.5093,19.6117,20.6116,18.7627,22.7775
31/07/2017,24.4869,16.9673,19.7200,18.3190,22.5724
28/07/2017,23.4182,15.4753,19.3771,18.9620,22.4917
27/07/2017,22.3999,13.6080,18.9512,18.9018,22.6240
26/07/2017,22.0059,13.6868,19.8182,19.2287,22.6184
25/07/2017,21.8344,15.3876,20.2268,20.6876,22.7104
24/07/2017,21.3780,10.8401,19.4243,22.2766,22.5128
21/07/2017,21.9963,15.3222,19.6443,22.2209,22.6682
20/07/2017,20.9621,15.2373,19.6017,22.2987,22.6780
19/07/2017,21.0708,14.8989,19.4885,23.2125,22.6793
18/07/2017,18.8625,14.0708,19.3616,23.4318,22.7030
17/07/2017,18.8853,13.8985,19.3659,23.4160,22.7938
14/07/2017,18.4950,13.8988,19.4986,23.4813,23.0222
13/07/2017,19.0121,14.1642,20.4522,24.0276,23.2946
12/07/2017,20.0110,24.1562,20.4907,24.2764,23.2885
11/07/2017,20.3846,22.4755,20.2113,24.1691,23.3765
10/07/2017,22.1706,22.9675,20.2107,24.1643,23.8873
07/07/2017,21.7913,21.4963,19.5605,23.8276,23.5515
06/07/2017,21.2521,21.5443,19.5477,23.8575,23.6582
05/07/2017,20.9423,23.0991,19.6281,24.0519,23.8368
04/07/2017,21.5433,27.8432,19.8360,24.7530,24.0415
03/07/2017,21.7515,27.7662,19.7984,24.7421,25.0172
30/06/2017,21.1021,27.7667,19.7839,25.1275,25.3150
29/06/2017,23.0960,27.7699,21.1320,25.1282,25.3417
28/06/2017,21.8537,19.1116,16.9624,23.6170,24.3531
27/06/2017,20.9046,15.6759,16.8619,24.0451,24.1360
26/06/2017,19.2402,15.4816,16.9159,24.1256,24.2253
23/06/2017,18.4410,17.7026,17.2969,24.1304,24.7043
22/06/2017,18.9356,17.4543,18.1026,24.1214,24.8033
21/06/2017,19.6150,17.6887,18.0721,24.1828,24.7732
20/06/2017,20.9380,13.9403,16.5336,23.6677,24.7634
19/06/2017,21.0957,14.8230,16.9457,23.8386,25.0972
16/06/2017,19.6216,14.9618,18.5961,23.8881,25.0887
15/06/2017,20.3349,19.2502,18.9446,24.2490,25.2692
14/06/2017,21.0694,16.5821,18.8441,23.9858,25.2793
13/06/2017,23.0735,15.1734,21.3359,23.9765,25.2298
12/06/2017,24.9080,14.3965,25.1418,24.0616,25.6227
09/06/2017,23.5319,15.1709,24.8618,24.1494,26.2708
08/06/2017,24.6784,15.1606,25.0473,24.1952,26.3148
07/06/2017,24.1716,15.5866,26.7338,24.2445,26.3135
06/06/2017,23.4815,16.3817,27.2425,24.2936,26.3157
05/06/2017,21.4682,15.5790,27.1970,24.3923,26.2933
02/06/2017,22.3992,15.3957,27.2315,24.6703,26.2889
01/06/2017,20.8490,13.6383,27.3841,24.6075,28.2839
31/05/2017,21.1822,13.5913,27.7862,24.6122,28.2796
29/05/2017,21.4418,17.6073,27.7783,24.8106,28.2692
26/05/2017,20.6140,17.5249,27.7572,25.4738,28.2747
