Underlying Name ,HSBC Holdings Plc.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
28/03/2018,17.9808,14.3987,19.7175,17.9850,16.7010
27/03/2018,16.7525,13.2101,19.3790,17.7614,16.5149
26/03/2018,17.1692,13.0276,19.4480,17.7698,16.5509
23/03/2018,18.2982,14.2656,19.5029,17.7316,16.5433
22/03/2018,15.8772,9.5314,18.5864,17.2411,16.1266
21/03/2018,15.9907,8.8452,20.7800,17.2045,16.1161
20/03/2018,16.1706,10.0881,20.8969,17.2037,16.1478
19/03/2018,16.1737,10.6823,20.9006,17.2554,16.1772
16/03/2018,16.7386,13.9529,20.8389,17.2662,16.1880
15/03/2018,16.1751,13.8842,20.6534,17.3770,16.1545
14/03/2018,15.2902,13.8845,20.7762,17.3997,16.2512
13/03/2018,15.9842,13.8667,20.7727,17.8621,16.2265
12/03/2018,16.9416,14.7736,20.8426,17.8468,16.2779
09/03/2018,16.2311,12.8838,20.4270,18.1700,16.1917
08/03/2018,16.9436,12.4873,20.3642,18.2134,16.1838
07/03/2018,17.4034,15.3982,20.5231,18.1928,16.1707
06/03/2018,18.0043,17.1555,20.4750,18.4195,16.1130
05/03/2018,18.3050,19.6468,20.1686,18.3495,16.0475
02/03/2018,18.2181,24.1398,19.9617,18.0484,15.8066
01/03/2018,17.6405,28.8844,19.9610,17.9538,15.7662
28/02/2018,17.2838,29.1297,20.2206,17.9518,15.9243
27/02/2018,17.8276,29.0085,20.2669,18.0932,15.8728
26/02/2018,18.8365,28.7168,20.0565,17.9080,15.7401
23/02/2018,19.5955,28.9605,21.3770,17.9455,15.7386
22/02/2018,20.0600,28.9465,21.8222,17.9470,15.7402
21/02/2018,20.4185,31.1873,20.5465,17.2521,15.2260
20/02/2018,22.7427,30.9664,20.4515,17.5374,15.2151
15/02/2018,27.2647,26.6520,18.0887,16.1637,14.3854
14/02/2018,25.1038,24.0262,17.2769,15.7230,14.0130
13/02/2018,23.9038,18.1440,15.4904,14.8599,13.3791
12/02/2018,24.3118,17.3739,16.2282,14.8439,13.3804
09/02/2018,24.9055,17.3449,16.1643,14.7952,13.4864
08/02/2018,22.5314,17.9482,15.9655,14.7415,13.4120
07/02/2018,21.1691,16.6569,15.8823,14.7359,13.3780
06/02/2018,21.7704,17.0194,15.9618,14.7295,13.3749
05/02/2018,16.9530,9.7931,12.2296,12.8473,12.0270
02/02/2018,15.9874,8.9280,11.7330,12.7072,11.8794
01/02/2018,16.1208,8.8652,11.6633,12.6881,11.9045
31/01/2018,16.6060,9.4256,11.6121,12.7232,11.8962
30/01/2018,17.2024,9.5823,12.4071,12.7662,11.8975
29/01/2018,18.7954,8.5930,11.9528,12.7345,11.7473
26/01/2018,18.5183,7.1795,12.7052,12.6093,11.7537
25/01/2018,18.6408,7.9047,12.7225,12.7923,11.8071
24/01/2018,19.4795,12.8861,13.4043,12.7768,11.7707
23/01/2018,19.9388,13.6397,13.4280,12.7779,11.7844
22/01/2018,18.2294,13.5673,13.3749,12.7085,11.7401
19/01/2018,17.4957,13.3677,14.4058,12.6380,11.8675
18/01/2018,17.4469,12.9786,14.5444,12.6338,11.8695
17/01/2018,16.4473,14.2435,14.6317,12.6250,11.9149
16/01/2018,16.5923,14.9869,14.6833,12.6617,12.1476
15/01/2018,16.5137,16.2021,14.6086,12.9540,12.1063
12/01/2018,16.2323,16.4576,14.9499,12.9541,12.1075
11/01/2018,17.3058,15.7874,14.8039,12.9209,12.0813
10/01/2018,17.2388,12.3198,13.5067,12.0600,11.4853
09/01/2018,16.3084,10.7082,13.0386,11.7508,11.6851
08/01/2018,15.9019,10.5303,13.4875,11.9252,11.7258
05/01/2018,15.8596,10.2055,14.1884,11.9786,11.7136
04/01/2018,16.2859,10.4264,14.2412,12.2888,11.7790
03/01/2018,15.7900,9.5099,14.1038,12.2219,11.7381
02/01/2018,16.1554,11.9566,14.0043,12.2681,11.7052
