Underlying Name ,W.I.S.E. CSI 300 China Tracker

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
10/08/2017,25.9693,13.7293,13.2885,14.9958,16.3762
09/08/2017,26.0060,13.4941,13.5259,15.1043,16.4063
08/08/2017,25.9888,12.3092,13.3413,15.4619,16.3056
07/08/2017,25.9614,12.4480,13.5173,15.5597,16.2965
04/08/2017,25.9727,12.9958,15.0485,15.6286,16.3926
03/08/2017,25.9841,14.3771,15.7979,16.2130,16.3658
02/08/2017,25.9991,14.7036,15.8546,16.7891,16.3837
01/08/2017,25.9487,18.3788,16.0798,16.9406,16.3810
31/07/2017,25.9849,16.8002,16.1671,16.5245,16.0372
28/07/2017,26.0041,16.7036,16.3480,17.4257,16.0163
27/07/2017,25.9378,16.6270,16.4630,17.4121,16.0072
26/07/2017,25.9966,17.0411,16.4673,17.5524,15.9990
25/07/2017,25.9892,17.1969,16.5233,17.6082,15.9990
24/07/2017,25.9910,17.3692,16.4267,17.6169,15.9851
21/07/2017,25.9887,17.2345,16.4399,17.6991,16.0824
20/07/2017,25.9790,15.5859,16.0287,17.4917,16.4538
19/07/2017,25.9924,15.3219,15.9440,17.5473,16.4303
18/07/2017,25.9532,10.5796,15.1325,17.1981,16.0165
17/07/2017,26.0012,9.1989,14.8912,17.0535,15.8667
14/07/2017,25.9430,10.0018,15.1303,17.1970,15.8531
13/07/2017,25.9744,10.0020,15.4293,17.5949,15.9284
12/07/2017,25.9868,10.4208,15.8558,17.5166,15.8707
11/07/2017,26.0087,11.1054,15.9184,17.7811,15.8577
10/07/2017,25.9938,11.3668,15.7392,17.9709,16.0323
07/07/2017,25.9912,16.2219,15.8559,17.9515,16.0197
06/07/2017,25.9080,18.4314,16.5135,17.9529,16.0199
05/07/2017,25.9801,18.8684,16.6130,17.9541,16.0353
04/07/2017,26.0236,19.2025,16.5896,17.9627,16.0349
03/07/2017,25.9533,21.6694,16.2830,17.8675,16.1109
30/06/2017,25.9569,21.3952,15.9515,17.7718,16.0764
29/06/2017,25.9794,21.5443,16.3236,17.7740,16.1489
28/06/2017,26.0327,21.5543,16.6022,17.7714,16.0894
27/06/2017,25.9319,21.0248,17.2327,17.7007,16.0404
26/06/2017,26.0169,20.2059,17.0664,17.6103,15.9822
23/06/2017,25.9619,17.6135,16.2782,17.1475,15.5805
22/06/2017,25.9891,15.2813,16.8067,16.7385,15.2977
21/06/2017,25.9664,14.9993,17.9088,16.7418,15.2725
20/06/2017,25.9612,15.7143,18.0359,16.6023,15.1728
19/06/2017,26.0182,11.7296,16.9370,16.1087,14.8241
16/06/2017,25.9625,12.7373,18.7091,15.9750,14.7756
15/06/2017,25.9758,13.1725,18.5942,15.8764,14.7439
14/06/2017,25.9693,14.9804,18.8531,15.8638,14.7316
13/06/2017,26.0060,15.2037,18.9085,15.8446,14.7191
12/06/2017,26.0296,15.2037,19.0148,15.8689,14.7269
09/06/2017,25.9150,14.9500,19.1192,16.0374,14.7290
08/06/2017,26.0376,16.5222,19.1193,16.7340,14.7954
07/06/2017,25.9988,17.0137,19.2929,16.7576,14.8817
06/06/2017,25.9832,16.1858,19.2923,16.5294,14.7012
05/06/2017,25.9643,15.3634,19.1457,16.3199,14.5485
02/06/2017,26.0150,14.0310,19.2309,16.2260,14.5401
01/06/2017,25.9687,14.1166,19.7233,16.2293,14.4738
31/05/2017,25.9871,13.9501,19.1387,15.8934,14.2307
29/05/2017,25.9420,16.7557,19.6739,15.8618,14.2064
26/05/2017,25.9999,17.0030,20.0879,16.1591,14.3382
25/05/2017,25.9858,17.5627,19.8815,16.0371,14.6163
24/05/2017,25.9957,19.1478,19.0849,15.5627,14.3018
23/05/2017,25.9868,22.3674,19.0701,15.5913,14.3148
22/05/2017,25.9852,22.9522,19.1270,15.5682,14.3732
19/05/2017,23.5194,23.2310,19.1020,15.8028,14.6443
18/05/2017,23.5564,26.9876,19.0642,15.8079,14.7036
