Underlying Name ,China Unicom (Hong Kong) Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
05/09/2017,26.6841,16.1903,27.6831,25.6030,25.5884
04/09/2017,26.9732,19.1864,27.9246,25.5980,25.5682
01/09/2017,26.8759,28.7097,28.7355,25.8202,25.6637
31/08/2017,28.6702,28.7097,28.7397,25.9472,25.6684
30/08/2017,29.1947,28.6945,28.6216,25.8835,25.6245
29/08/2017,31.1076,28.6945,28.6380,25.8933,25.8197
28/08/2017,32.5423,28.4247,28.6604,25.8934,26.1387
25/08/2017,33.7034,40.7084,28.6805,25.8839,26.0576
24/08/2017,33.1757,43.0651,28.7403,25.9058,27.0590
23/08/2017,34.9568,40.6517,27.1894,25.1573,26.5993
22/08/2017,35.1054,40.7245,27.2144,25.3580,26.6426
21/08/2017,33.3344,37.4956,25.7302,24.8445,26.2214
18/08/2017,39.4209,33.9194,26.0569,23.8694,26.4294
17/08/2017,39.4021,33.9895,26.6593,23.9302,27.6235
16/08/2017,39.5240,35.4009,27.4523,25.3704,28.4727
15/08/2017,38.9408,36.2117,30.4421,26.4422,28.4727
14/08/2017,39.4191,37.8022,31.2024,26.3741,29.3167
11/08/2017,35.0634,26.1108,26.7915,24.0444,27.9396
10/08/2017,35.3046,21.7377,25.7990,24.4137,27.5606
09/08/2017,35.5843,19.4482,25.4534,24.1659,27.4172
08/08/2017,35.5807,20.6576,25.4399,24.1712,27.4153
07/08/2017,34.2611,21.7795,25.3227,24.5240,27.3980
04/08/2017,34.9462,24.4141,25.3023,24.5780,27.9057
03/08/2017,33.7601,24.3753,25.7271,24.6789,27.8944
02/08/2017,32.5495,21.3719,24.9798,25.1629,27.7285
01/08/2017,28.4830,17.7950,24.1433,24.8520,27.5209
31/07/2017,28.4628,15.8006,23.8083,24.5656,27.3963
28/07/2017,29.3072,17.3690,23.7578,24.5747,27.6352
27/07/2017,29.4202,17.8470,23.8896,24.5743,28.8713
26/07/2017,28.5364,18.3552,23.9522,24.5704,28.8698
25/07/2017,30.7310,16.8083,23.7626,24.6034,28.8113
24/07/2017,29.6581,12.9118,23.3700,24.3782,28.6864
21/07/2017,27.6557,18.8185,23.0318,24.1785,28.4777
20/07/2017,28.1988,21.9684,23.3184,24.1798,28.4899
19/07/2017,28.8116,25.5568,23.3184,24.1911,28.6695
18/07/2017,29.5037,35.1349,23.3184,24.5177,28.6775
17/07/2017,30.1237,37.0413,23.2883,24.9963,28.6753
14/07/2017,29.2234,35.7404,23.1818,24.8981,28.6137
13/07/2017,30.7587,34.8099,23.0223,26.4027,28.5990
12/07/2017,31.2283,34.0339,22.9219,26.4125,28.5408
11/07/2017,29.3344,33.9487,23.2517,26.4625,28.5965
10/07/2017,29.4248,33.1804,23.5601,26.4254,28.6173
07/07/2017,25.7185,22.2559,20.5386,26.3766,28.3263
06/07/2017,24.7276,26.3531,20.2193,28.1024,28.1869
05/07/2017,25.2904,26.8803,23.2840,29.0212,27.9773
04/07/2017,25.4684,17.5262,22.2458,27.6734,27.0115
03/07/2017,26.3279,13.7477,20.8628,28.5984,26.6990
30/06/2017,24.0006,12.8632,20.6875,28.6383,26.6549
29/06/2017,24.0372,11.4999,23.0568,28.5598,26.6422
28/06/2017,25.1399,12.3719,23.0810,28.5401,26.6318
27/06/2017,25.3018,11.4770,23.0410,28.5274,26.7409
26/06/2017,25.0475,10.9891,23.6928,28.5297,26.7326
23/06/2017,27.9262,15.2071,23.7655,29.2434,26.7297
22/06/2017,27.0161,14.8437,23.7738,29.0795,26.6384
21/06/2017,25.5307,14.0784,25.2939,29.1519,26.6297
20/06/2017,26.4508,14.1027,25.1893,29.1413,26.9081
19/06/2017,25.8880,13.0404,25.3050,29.1820,26.8751
16/06/2017,23.1976,15.0183,25.4653,29.5339,26.8777
15/06/2017,26.3695,14.7181,25.4180,31.1966,26.8547
14/06/2017,27.0602,15.5475,25.2807,31.1536,26.8344
