Underlying Name ,Bank of Communications Co., Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
25/04/2018,18.6889,19.3858,17.6227,25.5256,23.6851
24/04/2018,17.6389,19.2961,17.7202,25.5811,23.7127
23/04/2018,17.4427,18.9321,17.1452,26.6945,23.6402
20/04/2018,17.5671,19.2712,17.5270,26.7296,23.8745
19/04/2018,16.1572,18.3403,18.5061,26.6681,23.8122
18/04/2018,18.2314,18.0285,17.9554,26.7001,23.6186
17/04/2018,21.9357,21.2151,18.3431,26.8514,23.6087
16/04/2018,22.3142,21.2311,18.4642,27.3252,23.6292
13/04/2018,20.5789,20.7676,18.1171,26.9218,23.2978
12/04/2018,21.5619,20.9515,18.4440,27.0459,23.3308
11/04/2018,21.7831,20.6937,18.3845,27.0337,23.3352
10/04/2018,23.4000,21.3798,19.0865,27.1535,23.3431
09/04/2018,24.2730,19.8952,18.5733,27.0528,23.2498
06/04/2018,25.1989,20.3608,20.7425,27.0091,23.3500
04/04/2018,24.2306,20.4930,20.9163,27.0569,23.3731
03/04/2018,23.8481,18.4178,20.3498,26.8083,23.2394
29/03/2018,24.8741,14.4558,19.8585,26.4868,23.0103
28/03/2018,24.9159,14.3076,19.8585,26.7023,23.0104
27/03/2018,24.3674,11.1916,18.8307,26.3105,22.8179
26/03/2018,25.4483,11.5280,21.7389,26.3150,22.8015
23/03/2018,26.3217,13.7681,21.7268,26.3059,22.8039
22/03/2018,23.1115,13.4486,21.6275,26.2311,22.7473
21/03/2018,22.2266,13.5899,28.1465,26.2400,22.7474
20/03/2018,21.5600,14.0258,28.1120,26.1653,22.6836
19/03/2018,20.3595,17.9824,28.1117,26.1227,22.6888
16/03/2018,21.4086,19.1326,28.1759,26.1235,22.7647
15/03/2018,25.8050,20.2096,28.4349,26.1353,22.7160
14/03/2018,25.4933,20.0729,29.7741,26.1051,22.7062
13/03/2018,25.8698,22.0219,29.7382,26.3608,22.6619
12/03/2018,24.1150,22.4782,31.9094,26.3749,22.7945
09/03/2018,25.0099,21.0185,31.7062,26.3007,22.7983
08/03/2018,25.6134,22.8123,31.7340,26.3103,22.8957
07/03/2018,27.0412,22.4678,33.9662,26.3922,22.8933
06/03/2018,25.6718,27.6408,33.8465,26.5751,22.8051
05/03/2018,26.4425,25.3700,33.1041,26.2088,22.5323
02/03/2018,26.4498,25.0576,33.5810,26.0978,22.5140
01/03/2018,25.7935,24.6140,33.5966,25.8923,22.4125
28/02/2018,26.0123,24.5410,34.2807,25.9078,22.5769
27/02/2018,25.2112,21.4209,33.7864,25.5594,22.3391
26/02/2018,25.0695,29.1710,33.6917,25.4525,22.2296
23/02/2018,25.8539,29.1035,33.6771,25.4946,22.2422
22/02/2018,27.0978,28.1225,33.5526,25.2995,22.0687
21/02/2018,26.6137,42.2957,33.6206,25.3184,22.0597
20/02/2018,25.9184,38.0640,32.4224,24.6883,21.4570
15/02/2018,25.4728,38.3469,32.3159,24.6119,21.3900
14/02/2018,27.9711,37.6082,32.3207,24.7080,21.3694
13/02/2018,30.1999,37.1632,32.1057,24.5778,21.3210
12/02/2018,30.5463,38.4185,32.4347,24.5780,21.3472
09/02/2018,35.5680,37.5817,32.4481,24.7203,22.0293
08/02/2018,30.9543,42.8584,30.2968,23.4259,21.0801
07/02/2018,31.6914,42.8506,30.2990,23.4307,21.1427
06/02/2018,33.6691,43.5594,30.1823,23.3973,21.1056
05/02/2018,27.9738,35.1785,22.8239,19.2025,18.1235
02/02/2018,25.2355,35.6006,22.7856,19.1334,18.1062
01/02/2018,28.2244,35.5999,22.8536,19.1751,18.1444
31/01/2018,28.6826,35.8024,22.5565,19.2151,18.0930
30/01/2018,30.2670,35.9276,22.8395,19.1148,18.0102
29/01/2018,33.1612,29.3489,20.0895,17.7529,17.0586
26/01/2018,32.4433,28.6706,20.2756,17.7071,16.9947
25/01/2018,30.1005,24.8892,18.2243,16.4889,15.8562
