Underlying Name ,Foxconn International Holdings Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
02/03/2018,33.3947,26.8370,23.6197,19.7249,20.4680
01/03/2018,33.7565,26.5931,23.5610,19.6686,20.5561
28/02/2018,32.7373,26.2062,23.4079,19.5101,20.8173
27/02/2018,32.5772,26.2165,23.6016,19.5358,21.0208
26/02/2018,32.6410,27.1992,23.9989,19.4022,20.9330
23/02/2018,33.0763,25.8301,23.2013,19.0287,20.6975
22/02/2018,32.7798,25.8301,22.7278,18.7580,20.5410
21/02/2018,32.9686,34.5184,23.8296,19.1430,20.5410
20/02/2018,33.1434,31.9504,22.2720,18.6358,20.1354
15/02/2018,33.0820,28.5106,20.9602,17.9872,19.7215
14/02/2018,32.7883,27.8988,20.8281,18.0083,20.0370
13/02/2018,33.1625,30.0728,20.7126,18.0825,20.0132
12/02/2018,32.8727,27.9319,20.6070,17.9421,19.8748
09/02/2018,33.3552,27.9545,21.1512,18.0552,19.8988
08/02/2018,33.0783,27.7178,20.6386,18.3150,19.7539
07/02/2018,33.2269,27.9314,20.6441,18.2995,19.7666
06/02/2018,33.1262,25.8582,20.1620,18.1083,19.6058
05/02/2018,33.1213,16.4234,15.6417,15.5948,18.2598
02/02/2018,33.4509,14.3693,14.8760,15.2739,18.3430
01/02/2018,32.9366,13.8201,14.6817,15.1975,18.5180
31/01/2018,33.0026,15.1859,14.6955,15.2756,18.6134
30/01/2018,32.9988,11.3300,14.2834,14.8327,18.4597
29/01/2018,32.7527,11.2394,14.0557,18.9717,18.8152
26/01/2018,33.1460,11.1913,13.5047,19.0065,18.7428
25/01/2018,32.9574,14.8895,13.5519,19.0325,18.8015
24/01/2018,32.7724,14.9432,14.5179,19.0579,18.9243
23/01/2018,32.9156,15.4076,14.5179,19.0579,19.0145
22/01/2018,33.1255,19.0094,14.3313,18.9718,18.9790
19/01/2018,33.2808,18.7873,15.4614,18.9520,18.9572
18/01/2018,33.6143,18.8816,15.4586,18.9400,19.1024
17/01/2018,33.7288,18.1409,15.0595,18.7861,19.1219
16/01/2018,33.5886,18.1409,15.0595,18.9777,19.1392
15/01/2018,32.8628,19.4540,14.9832,19.5754,19.1364
12/01/2018,33.9149,19.6009,14.6215,19.7365,19.8103
11/01/2018,32.5922,15.7942,13.2988,19.2897,20.1033
10/01/2018,33.7419,14.7142,13.3047,19.2333,20.0537
09/01/2018,32.7151,14.7164,13.3207,19.2146,20.0550
08/01/2018,33.3537,11.0679,12.8006,18.7119,19.7405
05/01/2018,32.5478,10.1644,13.9603,19.0953,19.8821
04/01/2018,33.1167,10.1644,14.0429,19.0953,20.1895
03/01/2018,33.2450,9.5637,14.2360,19.5603,20.1773
02/01/2018,32.8484,10.6043,14.4151,19.5603,20.1773
29/12/2017,32.9317,9.6724,14.5180,19.4462,20.0639
28/12/2017,32.7369,8.0468,14.2464,19.3095,19.9444
27/12/2017,33.8687,7.3821,15.4999,19.3835,20.1199
22/12/2017,32.2936,12.4844,15.4999,19.4076,20.1292
21/12/2017,33.3221,12.3399,15.7079,19.3945,20.1280
20/12/2017,33.0232,12.3399,15.7091,19.5546,20.1208
19/12/2017,32.7517,16.1582,15.8747,19.9691,20.2826
18/12/2017,31.8862,16.1411,15.9175,20.2809,20.9370
15/12/2017,32.2054,15.7711,16.0858,20.3976,20.9227
14/12/2017,32.5020,13.2286,15.6065,20.3211,20.8135
13/12/2017,32.4031,13.2286,22.9626,20.8460,20.8135
12/12/2017,32.8467,13.7640,23.3453,20.8816,20.8163
11/12/2017,33.9228,13.7367,23.3395,20.9380,20.8124
08/12/2017,32.9781,11.8780,22.9361,20.8640,21.0709
07/12/2017,33.0063,11.7700,22.9361,20.9765,21.4599
06/12/2017,32.9719,15.4901,22.9343,21.0100,21.4707
05/12/2017,32.6939,14.8912,22.1638,20.6057,21.3372
04/12/2017,33.9023,14.9083,22.1396,20.8083,21.3585
