Underlying Name ,CGN Power Co., Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
03/07/2017,19.4492,13.0402,13.0819,15.2413,17.5196
30/06/2017,19.3746,13.0316,12.6666,15.1412,17.5419
29/06/2017,19.8040,12.3531,12.8862,15.2228,17.5308
28/06/2017,20.2431,15.3529,12.9863,15.3582,20.6404
27/06/2017,18.7774,15.0589,13.5753,15.2888,20.5883
26/06/2017,18.4171,15.0574,13.6682,15.9840,20.5912
23/06/2017,20.4852,15.3282,13.5622,15.9326,20.7018
22/06/2017,20.0949,14.9453,13.4375,16.7803,20.7014
21/06/2017,20.4685,12.6188,12.7187,16.8909,20.7977
20/06/2017,21.2423,12.7304,15.1556,18.0315,20.8413
19/06/2017,24.3487,12.3482,15.1385,18.1974,20.7964
16/06/2017,21.6994,11.3146,14.9299,18.0670,20.7563
15/06/2017,20.1587,11.3371,14.9261,18.0934,20.7564
14/06/2017,22.2061,14.8532,14.1482,17.7541,20.5424
13/06/2017,20.7478,14.3709,14.1632,17.7174,20.5880
12/06/2017,20.4737,14.8877,14.1554,18.0889,20.6288
09/06/2017,20.2859,14.8154,14.6126,18.0094,20.5867
08/06/2017,20.8042,14.7211,15.5275,18.6972,20.5714
07/06/2017,21.2388,14.4914,15.6361,18.6732,20.6134
06/06/2017,21.8680,14.8509,15.7940,18.7038,20.6134
05/06/2017,22.9134,14.7944,15.8712,18.8034,20.6256
02/06/2017,20.5359,14.3187,16.1443,18.9180,20.9712
01/06/2017,20.2777,14.8827,18.0371,19.1271,21.0381
31/05/2017,21.9918,9.1761,16.5618,18.5747,20.7895
29/05/2017,20.7791,12.1218,16.8144,18.5917,20.8534
26/05/2017,22.1681,12.1113,16.8267,18.6362,20.8940
25/05/2017,21.7379,11.6570,16.9925,18.6729,20.9351
24/05/2017,19.0826,11.5868,17.0749,18.7685,20.9351
23/05/2017,22.9183,12.1084,17.1664,18.8459,20.9367
22/05/2017,23.3943,17.9972,17.1238,19.2403,20.9948
19/05/2017,26.5363,18.5162,17.3302,19.4154,21.0247
18/05/2017,24.0335,19.1338,17.4575,19.5740,21.0459
17/05/2017,25.6996,17.9640,17.4305,19.4734,20.9238
16/05/2017,25.3644,17.4672,17.5019,23.4630,20.9056
15/05/2017,26.8341,16.8017,17.0504,23.3264,20.8168
12/05/2017,27.8019,16.5696,18.2343,23.3273,20.8190
11/05/2017,29.6308,17.8784,18.2318,23.4543,20.8229
10/05/2017,28.8155,19.5121,19.7769,23.4431,20.9632
09/05/2017,31.0955,20.2752,20.4553,23.7004,21.0289
08/05/2017,26.4952,15.2708,20.7719,23.1883,20.6139
05/05/2017,25.9962,15.1017,21.0827,23.1140,20.5723
04/05/2017,25.6818,15.8409,20.9676,23.0559,20.5119
02/05/2017,25.2997,21.2810,20.9958,23.0590,20.7425
28/04/2017,24.6702,21.2801,20.9689,23.0620,20.7441
27/04/2017,23.1795,21.8966,20.8323,23.0727,20.6868
26/04/2017,25.2281,22.0687,21.4273,23.1298,21.5558
25/04/2017,23.8163,21.2625,21.0941,23.0322,21.4625
24/04/2017,25.7797,18.5060,21.6439,22.7770,21.3156
21/04/2017,27.1754,18.4830,21.5532,22.7569,21.3165
20/04/2017,28.1770,18.8254,21.4996,22.6696,21.3173
19/04/2017,27.4864,19.3904,21.6194,22.6714,21.4161
18/04/2017,29.5041,18.8684,21.6040,22.9314,21.3182
13/04/2017,26.2834,13.1221,20.1517,22.1209,20.7335
12/04/2017,25.1182,13.7090,20.4017,22.4885,20.7286
11/04/2017,29.9078,13.1155,20.3425,22.5582,21.3036
10/04/2017,26.0927,17.4857,20.3492,22.5173,21.2907
07/04/2017,25.1389,16.4278,20.3826,22.5298,21.2555
06/04/2017,25.7334,21.4878,20.4918,22.5275,21.3836
05/04/2017,24.4254,23.3058,20.4569,22.4695,21.3904
03/04/2017,26.4865,28.1104,21.3846,22.6025,21.4874
