Underlying Name ,CLP Holdings Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
03/07/2017,13.0208,6.6609,10.7606,12.5189,12.0583
30/06/2017,12.8919,8.2909,11.4625,12.6444,12.0921
29/06/2017,12.8693,6.9805,11.1406,12.5615,12.0365
28/06/2017,13.7466,6.8194,11.0965,12.5242,12.0096
27/06/2017,13.1405,8.0532,11.1092,12.5577,12.0391
26/06/2017,13.4056,7.7353,11.7719,12.5437,12.0165
23/06/2017,13.7186,9.1193,11.7071,12.4972,12.0366
22/06/2017,13.7944,8.9839,11.7775,12.4569,12.0075
21/06/2017,14.0261,9.1185,11.8139,12.4576,12.0008
20/06/2017,14.3368,9.0743,12.4971,12.4556,12.1192
19/06/2017,12.6283,10.4855,13.1498,12.5797,12.2886
16/06/2017,12.6416,11.3142,13.0246,12.5131,12.2375
15/06/2017,13.6419,11.3238,12.9943,12.7922,12.2760
14/06/2017,12.8748,10.7855,12.9854,12.9777,12.2741
13/06/2017,13.6857,14.0442,12.7901,12.8575,12.2002
12/06/2017,13.5204,14.0440,12.9177,13.0573,12.2037
09/06/2017,12.8678,13.4052,12.6725,13.1735,12.0453
08/06/2017,13.3756,13.5600,13.3382,13.3968,12.0717
07/06/2017,13.1675,15.0249,13.2729,13.3767,12.0456
06/06/2017,13.4715,15.0783,13.2598,13.4438,12.0314
05/06/2017,13.7217,14.3227,13.0792,13.3924,12.1434
02/06/2017,13.3434,14.8220,13.0245,13.2248,11.9423
01/06/2017,13.2379,14.0695,14.0646,13.1000,11.8453
31/05/2017,13.7006,14.2096,14.2351,13.2124,11.8473
29/05/2017,13.1275,11.5784,13.9753,12.9665,11.6107
26/05/2017,12.5778,13.5957,14.7682,12.9846,11.7304
25/05/2017,12.6203,13.1018,14.5888,12.9220,11.6468
24/05/2017,13.3764,13.4888,14.5554,12.9330,12.2263
23/05/2017,13.1631,11.2470,14.0141,12.6652,12.0490
22/05/2017,13.4527,13.7054,13.9849,12.6639,12.0400
19/05/2017,12.7787,15.4998,14.2128,12.6756,12.1065
18/05/2017,12.9322,13.1838,13.8222,12.3550,11.8515
17/05/2017,12.8427,13.2068,13.9515,12.4772,12.1711
16/05/2017,13.1735,13.3628,13.9136,12.4606,12.1509
15/05/2017,13.3911,13.4582,13.9562,12.4953,12.1696
12/05/2017,13.1048,12.1652,13.4612,12.2204,12.0614
11/05/2017,14.4036,12.3232,13.3927,12.2646,12.1310
10/05/2017,14.7933,12.7124,13.2192,12.1750,12.0929
09/05/2017,14.1155,12.3103,13.1721,12.1348,12.0715
08/05/2017,14.5437,11.6340,12.6142,12.0181,11.9091
05/05/2017,14.4471,10.0162,12.2075,11.9487,11.8300
04/05/2017,14.1534,12.1091,12.1919,11.9251,11.8805
02/05/2017,13.9627,15.9526,12.7573,12.0006,11.9578
28/04/2017,13.7295,16.1578,13.0260,11.9776,11.9302
27/04/2017,13.7517,17.4539,13.0081,11.9776,11.9598
26/04/2017,14.0850,18.9262,13.3760,11.9316,12.0553
25/04/2017,13.9539,18.1291,13.8607,11.8278,11.9736
24/04/2017,14.2063,15.3717,13.5154,11.4808,11.7436
21/04/2017,14.2565,15.5715,13.5553,11.4730,11.8206
20/04/2017,14.1833,15.7653,13.6733,11.4589,11.8201
19/04/2017,14.4212,16.3883,13.7849,11.7260,11.8564
18/04/2017,14.9798,16.0235,13.5247,11.4551,12.3461
13/04/2017,12.9262,13.6520,12.2839,10.6966,11.9828
12/04/2017,12.8422,13.1436,12.3478,10.5853,11.9697
11/04/2017,13.7183,11.6691,12.1121,10.3579,12.0914
10/04/2017,12.2059,7.7105,11.0611,9.9795,11.8563
07/04/2017,11.7570,7.7098,11.2181,9.9838,11.8617
06/04/2017,11.2013,7.6308,11.2494,10.9643,11.9349
05/04/2017,11.1459,7.9320,11.2627,10.9691,11.9721
03/04/2017,10.8332,8.0166,11.3049,10.9986,12.0294
