Underlying Name ,China Telecom Corporation Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
10/08/2018,23.1450,20.4484,17.2077,17.3694,18.7653
09/08/2018,22.3243,20.5809,18.4503,17.3832,18.7752
08/08/2018,23.4150,20.0222,18.3001,17.3230,19.1166
07/08/2018,23.5180,20.8960,18.9328,17.3906,19.1644
06/08/2018,23.8916,20.9189,19.0817,17.3661,19.7196
03/08/2018,22.2788,24.0518,19.0566,17.2165,19.6535
02/08/2018,23.6125,22.4290,18.5536,16.9142,19.4323
01/08/2018,22.7343,21.6807,18.3269,17.0121,19.3399
31/07/2018,22.5418,21.6870,20.5863,17.0138,19.5108
30/07/2018,22.4283,20.0519,19.8201,16.6671,19.6474
27/07/2018,22.2332,16.5700,18.6984,16.3645,19.3764
26/07/2018,22.9591,16.5700,18.5989,17.1046,19.3874
25/07/2018,24.1040,16.7662,18.5954,18.0490,19.5457
24/07/2018,23.8315,18.7433,18.1120,17.8309,19.4021
23/07/2018,23.8278,18.8350,19.2141,17.9289,19.5953
20/07/2018,22.4670,16.3406,18.4576,17.4249,19.2027
19/07/2018,23.0222,15.9178,18.2251,17.3392,19.1670
18/07/2018,23.2648,16.2346,18.1937,17.3814,19.2878
17/07/2018,22.6057,16.2337,18.7024,18.4967,19.6160
16/07/2018,23.5171,15.6378,18.9919,18.5623,19.5998
13/07/2018,23.0721,15.4166,19.0767,18.6391,19.6034
12/07/2018,25.1031,19.6864,19.1605,18.7417,19.6094
11/07/2018,25.3458,19.5645,19.1555,18.7913,19.5889
10/07/2018,23.5087,16.2091,17.8535,18.1871,19.1385
09/07/2018,24.6785,16.6135,17.8598,18.1871,19.1586
06/07/2018,24.6518,17.5902,17.9857,18.1924,19.2209
05/07/2018,25.4241,17.6270,17.8456,18.2345,19.2136
04/07/2018,26.9613,17.8334,17.8034,18.2817,19.1994
03/07/2018,26.2637,24.6153,17.8028,18.7833,19.1914
29/06/2018,25.8895,24.1833,17.7950,18.8208,19.2760
28/06/2018,24.4706,24.3942,17.8237,19.5350,19.5202
27/06/2018,24.5950,21.1051,16.4792,19.0670,19.3347
26/06/2018,23.9513,21.1303,16.5173,19.6281,19.5433
25/06/2018,24.9809,18.4379,15.6889,19.4306,19.6039
22/06/2018,23.6058,18.5165,15.1523,20.1811,19.7507
21/06/2018,22.9984,20.1747,15.0687,20.1035,20.2850
20/06/2018,23.2867,20.3715,15.0269,20.0106,20.2575
19/06/2018,23.9007,19.1383,15.3871,19.9627,20.2039
15/06/2018,20.1094,15.8879,12.7414,19.1264,19.5939
14/06/2018,20.8220,17.7274,13.0583,19.6864,19.6456
13/06/2018,20.6814,17.9898,13.9495,19.7510,19.7895
12/06/2018,20.5701,18.6815,15.7796,19.7901,19.7868
11/06/2018,20.9988,18.7452,17.7417,20.0588,19.8006
08/06/2018,19.2798,18.5607,17.6237,19.9676,19.8456
07/06/2018,18.8124,13.5026,16.3780,19.5330,19.7596
06/06/2018,19.3688,13.9704,16.3878,19.4945,19.7172
05/06/2018,19.9675,13.9704,16.4233,19.5153,19.7228
04/06/2018,20.6654,14.3759,16.6395,19.6991,19.7417
01/06/2018,20.1889,12.5582,18.4217,20.0919,19.6910
31/05/2018,20.7158,10.0199,18.2981,19.9796,19.5737
30/05/2018,18.8097,9.9170,18.3118,19.9039,19.5501
29/05/2018,20.0627,8.7482,18.3348,19.8007,19.4658
28/05/2018,18.2111,8.4282,18.3413,19.7555,19.4446
25/05/2018,19.6890,9.2493,18.5547,19.8076,19.4602
24/05/2018,18.9650,9.2481,18.5126,19.8127,19.5009
23/05/2018,18.7847,6.7971,18.4326,19.8876,19.5465
21/05/2018,18.5843,7.1813,18.6304,19.9487,19.5521
18/05/2018,18.5566,10.3082,18.5707,19.9050,19.5785
17/05/2018,18.5319,10.3082,19.6980,19.8898,19.6215
16/05/2018,20.1257,10.9850,19.6295,19.9780,19.6218
