Underlying Name ,China Construction Bank Corporation

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
31/05/2018,19.0318,17.7197,21.5650,24.9791,32.8943
30/05/2018,20.3819,15.6595,21.4707,24.8976,33.4000
29/05/2018,20.2142,13.6203,21.7539,25.2032,33.2453
28/05/2018,20.0781,16.7006,21.4849,25.1441,33.2414
25/05/2018,19.5457,18.0642,21.4832,25.1566,33.2430
24/05/2018,20.0031,18.0798,21.5071,25.1940,33.2654
23/05/2018,19.7370,18.0154,22.3737,25.4930,33.2616
21/05/2018,19.4415,16.4340,21.9151,25.9506,33.1495
18/05/2018,18.6286,16.5351,22.3052,26.1997,33.1580
17/05/2018,18.8665,17.8893,25.2398,27.9021,33.3380
16/05/2018,21.0475,18.2941,24.7769,29.1078,33.1980
15/05/2018,19.6150,19.1206,24.7684,29.1153,33.5510
14/05/2018,20.0243,23.5210,25.9157,29.0320,33.4995
11/05/2018,18.9044,22.1128,25.4823,30.3814,33.4023
10/05/2018,19.1611,21.9103,25.4830,30.2807,33.3735
09/05/2018,20.3138,23.1067,26.2788,30.7806,33.3735
08/05/2018,21.2719,26.0471,26.6706,34.8482,33.3805
07/05/2018,21.9557,25.3376,26.3985,34.7870,33.3436
04/05/2018,20.9326,26.2830,26.5235,34.7974,33.3438
03/05/2018,22.2639,28.9948,26.3948,34.7845,33.3151
02/05/2018,20.8941,27.1078,25.9162,34.8426,33.1860
30/04/2018,22.6724,27.1825,25.7509,35.2564,33.1171
27/04/2018,21.6100,26.4331,24.3349,34.7162,33.5116
26/04/2018,21.3419,26.4277,24.4966,36.5874,33.5440
25/04/2018,22.0413,26.0878,26.7672,36.7317,33.5005
24/04/2018,23.4068,24.9355,26.6550,36.6301,33.3787
23/04/2018,22.5051,24.6745,26.0101,37.4535,33.2079
20/04/2018,22.9363,24.8359,25.9986,37.4955,33.4253
19/04/2018,22.6891,23.8204,27.0335,37.4151,33.3219
18/04/2018,21.9517,29.6047,27.4361,37.5060,33.0972
17/04/2018,26.4347,29.1748,28.3095,37.4607,33.0580
16/04/2018,28.9607,28.7691,28.2871,38.1495,33.0460
13/04/2018,25.5575,29.5913,28.6193,37.8473,32.7759
12/04/2018,27.9418,29.7800,28.6787,37.9337,32.8034
11/04/2018,28.3901,30.5082,28.7153,37.9324,32.8460
10/04/2018,29.5531,32.5611,28.7808,37.9454,32.9195
09/04/2018,29.0028,30.7368,28.5136,37.7158,32.8886
06/04/2018,30.0180,30.0232,29.6706,37.7024,32.9622
04/04/2018,28.5034,27.5696,29.5826,37.5914,33.1184
03/04/2018,30.0357,21.8992,30.7707,36.9028,32.4722
29/03/2018,30.0852,21.1419,33.3123,36.8865,32.5692
28/03/2018,31.1015,21.0169,33.3299,37.3604,32.5693
27/03/2018,30.5658,17.8541,32.2245,36.8681,32.2626
26/03/2018,31.1517,18.2787,35.0473,36.8673,32.2736
23/03/2018,32.0587,26.3154,34.8721,36.8312,32.2538
22/03/2018,30.0962,24.3002,35.1655,36.4768,32.0351
21/03/2018,30.5075,22.0569,41.9311,36.2510,31.9135
20/03/2018,29.2714,21.9739,42.0124,36.2522,31.9144
19/03/2018,28.5194,23.4915,41.9481,36.1386,31.8390
16/03/2018,30.3711,29.9481,42.0102,36.1754,31.9114
15/03/2018,30.8167,34.3608,42.4032,36.2595,31.9313
14/03/2018,30.6108,34.4380,43.1454,36.2573,31.9999
13/03/2018,31.2186,37.2346,43.1240,36.9891,31.9026
12/03/2018,30.9915,37.4752,46.0420,37.0446,31.8739
09/03/2018,32.7845,31.8969,44.9972,36.4357,31.4026
08/03/2018,34.3024,31.1946,44.7913,36.3956,31.7659
07/03/2018,35.6929,31.2083,46.6247,36.3705,31.8036
06/03/2018,35.8313,35.5645,46.6792,36.7027,31.8053
05/03/2018,36.4631,30.3752,45.7458,36.2692,31.4544
02/03/2018,36.5077,38.8083,45.9186,35.7181,31.1365
