Underlying Name ,China National Building Material Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/04/2018,51.6944,51.2836,54.9930,58.8113,55.6533
26/04/2018,51.7779,49.1990,54.6462,58.6841,55.7973
25/04/2018,52.0545,50.2871,55.8700,58.7682,56.0401
24/04/2018,51.7409,49.2593,57.0972,58.4874,56.2296
23/04/2018,49.6065,37.5805,54.2375,57.0980,55.3149
20/04/2018,50.1075,37.5909,54.9518,57.0906,57.2947
19/04/2018,50.7302,36.5659,53.2714,56.3963,56.8150
18/04/2018,51.5267,41.1322,56.1832,56.6206,56.8036
17/04/2018,54.5008,55.5087,57.0368,56.4122,56.7657
16/04/2018,55.9233,60.3168,57.0362,56.4378,57.3103
13/04/2018,52.3398,58.6837,56.3852,56.3303,57.4562
12/04/2018,54.1071,59.5134,58.1888,56.7218,58.1838
11/04/2018,53.8784,61.1517,57.5380,59.0705,58.3136
10/04/2018,53.8800,72.7860,58.7350,59.0353,58.2507
09/04/2018,54.7300,72.8543,58.8761,58.8088,57.9693
06/04/2018,54.8094,76.2387,59.5252,60.0422,58.0007
04/04/2018,53.0601,75.0850,59.0222,59.7021,57.8694
03/04/2018,51.3570,72.0634,57.8539,59.1458,57.4740
29/03/2018,48.7741,62.5909,55.1861,57.7455,56.4572
28/03/2018,48.6661,56.3477,54.1679,58.0498,56.3944
27/03/2018,47.8363,59.0182,53.8202,58.2492,56.4867
26/03/2018,48.7222,56.3894,59.7891,57.9148,56.7999
23/03/2018,50.7575,48.7934,56.7145,56.3421,55.7440
22/03/2018,47.1324,45.3141,55.0222,54.7822,54.7732
21/03/2018,47.8614,44.6336,62.0045,55.0678,54.8273
20/03/2018,47.6114,42.7433,62.1138,54.7830,54.7253
19/03/2018,47.4731,43.3478,63.1581,54.8104,54.7317
16/03/2018,48.5287,53.4785,62.9998,54.7092,54.7427
15/03/2018,52.4153,58.7754,63.0305,56.8125,54.7488
14/03/2018,54.2379,58.7103,63.3231,56.8207,54.7481
13/03/2018,53.1456,56.9806,63.1482,56.4418,54.6165
12/03/2018,54.5449,62.2436,63.3129,56.8185,54.6686
09/03/2018,53.5874,57.6633,62.1783,56.5849,54.3525
08/03/2018,52.9990,56.0529,59.7202,56.1447,53.7275
07/03/2018,53.3448,55.7759,60.0352,56.2248,53.7511
06/03/2018,52.1794,58.9751,59.6431,58.8037,53.8514
05/03/2018,53.2940,57.2791,59.3563,58.6229,54.0454
02/03/2018,52.4646,51.9115,57.6108,57.4881,53.5450
01/03/2018,51.9302,47.6584,56.5501,57.0572,55.8568
28/02/2018,52.4326,48.5924,56.6154,57.8309,55.9947
27/02/2018,52.3663,48.5574,56.6450,58.2792,55.9937
26/02/2018,54.3289,65.1292,56.0969,58.6490,55.5522
23/02/2018,53.0306,65.8356,61.0814,59.1094,56.0761
22/02/2018,53.4153,66.0113,59.2493,58.2396,55.5211
21/02/2018,54.3154,81.6822,59.0994,57.9284,55.2939
20/02/2018,55.0233,79.0298,60.8494,57.5097,55.0068
15/02/2018,52.1996,82.2011,60.7328,57.5711,54.9723
14/02/2018,52.8261,78.3913,60.1670,57.2203,54.7525
13/02/2018,55.5622,73.2619,60.1781,57.1298,54.4926
12/02/2018,54.5609,67.1398,61.9530,57.6046,54.2842
09/02/2018,54.9252,69.9833,62.4982,57.6783,54.4810
08/02/2018,53.2246,62.6439,56.9720,55.7244,52.3574
07/02/2018,54.7857,64.6046,56.8992,55.7343,52.4274
06/02/2018,54.9761,62.5306,55.3864,55.1105,51.8946
05/02/2018,49.4138,39.0849,46.8027,51.2220,49.0375
02/02/2018,48.6552,31.8131,45.8101,50.8780,49.9761
01/02/2018,48.3039,28.5380,44.9973,50.4038,49.7236
31/01/2018,51.8793,31.1631,44.7290,50.5469,50.0307
30/01/2018,57.4886,30.5712,50.1411,50.4954,49.9969
29/01/2018,60.0375,26.1874,49.3871,50.2097,50.3111
