Underlying Name ,Hong Kong Exchanges and Clearing Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
15/08/2018,18.4336,20.6332,16.5029,18.0058,18.7236
14/08/2018,18.8500,19.6743,16.3793,17.7700,18.6793
13/08/2018,18.1173,19.7388,16.1725,17.5775,18.5846
10/08/2018,17.3494,19.3379,16.5716,17.4764,18.5058
09/08/2018,16.5661,19.0595,16.5739,17.6853,19.1677
08/08/2018,16.9179,16.8319,17.9121,17.6762,19.1318
07/08/2018,18.3176,16.3660,17.7920,17.8498,19.1990
06/08/2018,19.3850,16.7137,17.5222,17.6454,19.5566
03/08/2018,20.0847,16.6557,17.5585,17.6747,19.7797
02/08/2018,20.9027,17.7148,18.0287,18.0936,19.9533
01/08/2018,19.8923,14.4224,17.1708,17.6687,19.7217
31/07/2018,18.6071,14.0261,18.8567,17.6803,19.8521
30/07/2018,19.2007,12.0465,18.5047,17.4927,20.1534
27/07/2018,18.1313,11.4203,18.5265,17.5639,20.1523
26/07/2018,17.9779,11.2776,18.7023,18.0510,20.1677
25/07/2018,18.5764,10.4599,18.6715,18.0457,20.1559
24/07/2018,18.9044,11.8280,18.5441,18.3506,20.7183
23/07/2018,19.0148,9.8675,18.0573,18.1892,20.5754
20/07/2018,17.9315,13.2786,19.1879,18.4226,20.8477
19/07/2018,18.0116,13.1197,18.9780,18.3318,20.9534
18/07/2018,19.0675,14.1082,19.0166,18.3261,21.3026
17/07/2018,19.5412,16.2635,19.6311,18.7037,21.7982
16/07/2018,18.6169,16.9202,19.5964,18.6706,21.9854
13/07/2018,18.8095,18.8009,19.7435,18.8278,22.5178
12/07/2018,19.5446,19.1918,20.3304,19.1986,22.7020
11/07/2018,19.8622,23.6687,20.1837,19.1124,22.8489
10/07/2018,20.2904,23.7269,20.1544,19.0823,23.6589
09/07/2018,21.0699,23.9378,20.0270,19.3431,23.9436
06/07/2018,22.3990,20.4811,19.0575,19.4739,23.7433
05/07/2018,23.6184,19.7836,18.9101,19.8781,23.9803
04/07/2018,23.8412,20.4484,19.4311,19.8737,23.9666
03/07/2018,21.9052,23.2203,19.1789,19.8611,24.3245
29/06/2018,20.1914,23.5158,19.0132,19.8101,24.6819
28/06/2018,20.5503,19.5615,18.1610,19.5008,25.1060
27/06/2018,20.5098,16.4157,18.1257,20.3424,25.0503
26/06/2018,19.2919,14.6764,17.5527,19.8560,25.9152
25/06/2018,19.4805,16.3804,18.1898,20.0033,25.9705
22/06/2018,18.5656,16.4203,18.0529,20.6116,25.9131
21/06/2018,18.8786,21.3179,18.0354,20.9130,28.3987
20/06/2018,18.1576,20.6530,18.1661,20.9328,28.3119
19/06/2018,18.9920,20.5940,18.3399,21.0075,28.3164
15/06/2018,16.1931,16.6579,16.3786,20.4323,28.0559
14/06/2018,16.2714,16.6438,16.5249,21.0703,28.5205
13/06/2018,16.7016,16.0633,16.5401,21.0528,28.5863
12/06/2018,17.9544,18.6065,17.0314,20.9817,28.6666
11/06/2018,18.7116,19.4108,17.1416,20.9867,28.7988
08/06/2018,18.7178,19.2701,18.1043,21.8250,29.1373
07/06/2018,19.0625,17.8959,18.0148,21.7206,29.0856
06/06/2018,17.4358,15.2225,17.5524,21.6988,28.9323
05/06/2018,17.5490,16.1225,17.6059,21.9542,29.1731
04/06/2018,17.7952,17.4476,17.6035,22.4265,29.2013
01/06/2018,17.4161,14.9977,17.7891,22.9445,29.0887
31/05/2018,18.1860,15.0022,17.7971,23.2427,29.4253
30/05/2018,19.5109,14.3102,18.1037,23.9381,31.0167
29/05/2018,19.7934,13.1404,18.1284,23.9322,30.8676
28/05/2018,19.8322,14.9067,17.9522,24.1814,31.0952
25/05/2018,20.1877,16.8148,17.9800,25.3269,31.1630
24/05/2018,21.0663,16.8730,18.5052,25.7343,31.2160
23/05/2018,21.5486,16.8458,19.4699,25.7963,31.5328
21/05/2018,21.4698,16.7854,19.8409,26.0579,31.9955
